ctrust,cFrust,last,context,score
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
D,A,B,game,T
D,A,A,game,T
D,A,A,game,T
D,A,A,game,T
A,D,D,ECommerce,F
B,A,B,holiday,F
D,A,A,holiday,T
D,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
B,A,B,holiday,F
A,A,A,holiday,T
A,A,A,holiday,T
A,A,A,holiday,T
B,A,B,holiday,F
