department,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,actual_productivity
1,0.8,11.61,7200,50,0,0,0,0.800246011
1,0.8,11.61,7200,50,0,0,0,0.800246011
1,0.8,28.08,6900,50,0,0,0,0.800076522
1,0.8,28.08,6900,50,0,0,0,0.800076522
2,0.75,2.9,960,0,0,0,0,0.763375
2,0.6,2.9,960,0,0,0,0,0.759270833
1,0.75,28.08,7020,45,0,0,0,0.7504
1,0.75,19.87,6600,45,0,0,0,0.75024303
2,0.8,3.94,960,0,0,0,0,0.676666667
2,0.8,2.9,960,0,0,0,0,0.664583333
1,0.6,21.98,6960,23,0,0,0,0.600028736
2,0.8,3.94,4440,0,0,0,0,0.966781346
2,0.8,3.94,1440,0,0,0,0,0.936496212
2,0.75,4.15,1800,0,0,0,0,0.899166667
2,0.8,4.15,2700,0,0,0,0,0.888686869
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,26.16,10620,75,0,0,0,0.850502311
2,0.75,3.94,1440,0,0,0,0,0.809640152
2,0.8,3.94,1440,0,0,0,0,0.805909091
1,0.8,28.08,10350,50,0,0,0,0.800594466
1,0.8,28.08,10350,50,0,0,0,0.800594466
1,0.8,19.87,9900,50,0,0,0,0.800273829
1,0.8,11.61,5310,50,0,0,0,0.800140969
1,0.8,25.9,10170,38,0,0,0,0.800128721
1,0.8,25.9,10170,38,0,0,0,0.800128721
1,0.8,11.61,4470,38,0,0,0,0.80007657
1,0.75,28.08,10530,45,0,0,0,0.750545455
1,0.75,19.31,9900,45,0,0,0,0.750057851
2,0.8,2.9,1440,0,0,0,0,0.681060606
1,0.65,21.98,10440,35,0,0,0,0.649983281
2,0.8,2.9,1440,0,0,0,0,0.61625
2,0.8,3.94,1440,0,0,0,0,0.951420455
2,0.8,3.94,1440,0,0,0,0,0.880530303
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.75,4.15,2700,0,0,0,0,0.83
2,0.8,3.94,4440,0,0,0,0,0.827186544
2,0.8,3.94,1440,0,0,0,0,0.813371212
2,0.75,3.94,1440,0,0,0,0,0.805909091
2,0.8,2.9,1440,0,0,0,0,0.804640152
1,0.8,28.08,10350,63,0,0,0,0.800594466
1,0.8,28.08,10350,50,0,0,0,0.800594466
1,0.8,11.41,5490,50,0,0,0,0.800343766
1,0.8,19.87,9900,50,0,0,0,0.800273829
1,0.8,11.61,5670,50,0,0,0,0.800246753
1,0.8,25.9,10170,50,0,0,0,0.800128721
1,0.75,28.08,10530,69,0,0,0,0.8
1,0.7,21.98,9720,40,0,0,0,0.700480831
2,0.8,2.9,1440,0,0,0,0,0.681060606
2,0.8,2.9,1800,0,0,0,0,0.666515152
1,0.8,31.83,9900,40,0,0,0,0.412119835
2,0.7,4.15,1440,0,0,0,0,0.330113636
2,0.8,3.94,1440,0,0,0,0,0.947689394
2,0.8,3.94,12600,0,0,0,0,0.919905405
1,0.8,26.16,10620,88,0,0,0,0.900215716
2,0.8,3.94,1440,0,0,0,0,0.891723485
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,28.08,10530,75,0,0,0,0.850181818
1,0.8,25.9,10170,60,0,0,0,0.850136766
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.8,3.94,1440,0,0,0,0,0.835757576
2,0.7,4.15,3840,0,0,0,0,0.821354167
1,0.8,28.08,10050,63,0,0,0,0.800497246
1,0.8,19.87,9900,50,0,0,0,0.800273829
1,0.8,11.61,15120,63,0,0,0,0.800107143
1,0.8,11.41,14640,50,0,0,0,0.800024932
1,0.75,28.08,10530,69,0,0,0,0.8
2,0.75,3.94,1440,0,0,0,0,0.779791667
2,0.8,2.9,1440,0,0,0,0,0.735984848
2,0.75,4.15,2160,0,0,0,0,0.712626263
2,0.8,2.9,1440,0,0,0,0,0.681060606
2,0.8,4.15,900,0,0,0,0,0.515606061
1,0.35,12.52,25920,38,0,0,0,0.349951389
1,0.7,42.41,10260,0,0,0,0,0.233705476
2,0.8,3.94,2160,0,0,0,0,0.985
2,0.75,4.15,2760,0,0,0,0,0.930340376
2,0.8,3.94,6000,0,0,0,0,0.911589744
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.851174114
1,0.8,25.9,10170,60,0,0,0,0.850136766
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.8,3.94,1440,0,0,0,0,0.846950758
2,0.8,4.15,1440,0,0,0,0,0.817424242
2,0.8,3.94,1440,0,0,0,0,0.817102273
1,0.8,28.08,10440,63,0,0,0,0.801028213
1,0.8,28.08,10350,63,0,0,0,0.800594466
1,0.8,11.61,4710,50,0,0,0,0.800346445
1,0.8,11.41,5490,50,0,0,0,0.800343766
1,0.8,26.16,10620,63,0,0,0,0.800117103
1,0.8,28.08,10530,63,0,0,0,0.8
1,0.75,19.87,7080,45,0,0,0,0.750098351
1,0.5,12.52,9540,38,0,0,0,0.673245283
2,0.8,2.9,1440,0,0,0,0,0.670075758
2,0.8,2.9,1440,0,0,0,0,0.628882576
1,0.5,20.79,7680,0,0,0,0,0.388007813
2,0.5,4.15,1440,0,0,0,0,0.337973485
2,0.75,4.15,1440,0,0,0,0,0.93532197
2,0.8,3.94,3600,0,0,0,0,0.925643939
1,0.8,26.16,10620,88,0,0,0,0.900215716
2,0.8,3.94,1440,0,0,0,0,0.873068182
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,10170,45,0,0,0,0.850136766
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.8,3.94,1440,0,0,0,0,0.828295455
2,0.8,3.94,1440,0,0,0,0,0.820833333
1,0.8,11.41,5490,50,0,0,0,0.800343766
1,0.8,11.61,5670,50,0,0,0,0.800246753
1,0.8,28.08,10530,63,0,0,0,0.8
1,0.8,28.08,10530,38,0,0,0,0.8
1,0.8,19.87,6420,0,0,0,0,0.690182815
2,0.8,4.15,1440,0,0,0,0,0.668087121
2,0.8,2.9,1440,0,0,0,0,0.653598485
2,0.5,4.15,1440,0,0,0,0,0.609138258
1,0.6,12.52,9540,30,0,0,0,0.600229846
2,0.8,2.9,1440,0,0,0,0,0.597348485
2,0.8,2.9,1440,0,0,0,0,0.590435606
1,0.8,50.48,10440,0,0,0,0,0.473134796
1,0.6,20.79,7980,0,0,0,0,0.452979626
2,0.8,3.94,1440,0,0,0,0,0.955151515
2,0.35,4.3,3240,0,0,0,0,0.942213805
2,0.8,4.15,1800,0,0,0,0,0.905454545
2,0.8,3.94,1440,0,0,0,0,0.880530303
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,8220,75,0,0,0,0.850522167
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,10170,60,0,0,0,0.850136766
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.8,2.9,1440,0,0,0,0,0.817424242
2,0.65,4.15,1440,0,0,0,0,0.809564394
1,0.8,19.87,9900,0,0,0,0,0.800273829
1,0.8,11.41,5670,50,0,0,0,0.800181818
1,0.8,11.61,4470,50,0,0,0,0.80007657
1,0.8,28.08,10530,63,0,0,0,0.8
2,0.8,2.9,1440,0,0,0,0,0.725
1,0.8,50.48,6930,45,0,0,0,0.688557555
1,0.65,20.79,8460,0,0,0,0,0.650040783
1,0.65,12.52,9540,44,0,0,0,0.64998056
2,0.8,2.9,1440,0,0,0,0,0.648106061
2,0.8,4.15,1440,0,0,0,0,0.640577652
1,0.35,22.4,7350,0,0,0,0,0.35063299
2,0.8,3.94,1440,0,0,0,0,0.24625
2,0.35,4.3,2160,0,0,0,0,0.952020202
2,0.8,3.94,1440,0,0,0,0,0.951420455
2,0.8,3.94,5400,0,0,0,0,0.912766667
2,0.8,4.15,1620,0,0,0,0,0.901262626
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,10260,60,0,0,0,0.850252525
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.65,4.15,1440,0,0,0,0,0.821354167
2,0.8,3.94,1440,0,0,0,0,0.805909091
1,0.8,11.61,5670,50,0,0,0,0.800246753
1,0.8,11.61,5670,50,0,0,0,0.800246753
1,0.8,28.08,10530,50,0,0,0,0.8
1,0.8,42.27,9900,54,0,0,0,0.705576584
2,0.8,2.9,1440,0,0,0,0,0.681060606
2,0.8,2.9,1440,0,0,0,0,0.670075758
2,0.8,4.15,1440,0,0,0,0,0.601278409
1,0.7,27.13,9540,37,0,0,0,0.582301029
1,0.7,20.79,10440,0,0,0,0,0.526810345
1,0.5,22.4,10170,23,0,0,0,0.500380799
1,0.35,22.4,10170,23,0,0,0,0.35020649
2,0.8,4.15,1980,0,0,0,0,0.934607438
2,0.35,4.3,2700,0,0,0,0,0.908080808
1,0.8,25.9,10170,70,0,0,0,0.900144811
2,0.8,3.94,1440,0,0,0,0,0.891723485
2,0.65,4.15,1440,0,0,0,0,0.864583333
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,10170,60,0,0,0,0.850136766
2,0.8,2.9,1440,0,0,0,0,0.837594697
2,0.8,4.15,1440,0,0,0,0,0.820833333
1,0.8,11.61,2970,50,0,0,0,0.800313433
1,0.8,11.61,5670,38,0,0,0,0.800246753
1,0.8,26.16,10620,63,0,0,0,0.800117103
1,0.7,20.79,7320,0,0,0,0,0.700095563
2,0.8,2.9,1440,0,0,0,0,0.667329545
1,0.6,22.4,5100,23,0,0,0,0.600369686
1,0.5,22.4,3390,23,0,0,0,0.499980334
1,0.35,14.61,7200,23,0,0,0,0.35003125
2,0.8,3.94,1260,0,0,0,0,0.332359307
1,0.8,51.02,4260,27,0,0,0,0.311207464
2,0.8,3.94,1260,0,0,0,0,0.247316017
2,0.35,4.3,3600,0,0,0,0,0.988636364
2,0.8,3.94,3420,0,0,0,0,0.953110048
2,0.8,3.94,1440,0,0,0,0,0.884261364
2,0.65,4.15,1440,0,0,0,0,0.860653409
2,0.8,3.94,1440,0,0,0,0,0.858143939
1,0.8,26.16,10620,75,0,0,0,0.850502311
1,0.8,25.9,8970,60,0,0,0,0.850415628
1,0.8,25.9,10170,60,0,0,0,0.850136766
1,0.8,26.16,10620,63,0,0,0,0.800117103
1,0.8,11.61,4950,38,0,0,0,0.80003139
1,0.8,11.61,4950,50,0,0,0,0.80003139
1,0.7,20.79,10440,0,0,0,0,0.700060345
2,0.8,2.9,1440,0,0,0,0,0.689299242
1,0.5,22.52,10170,30,0,0,0,0.660683293
1,0.65,22.52,10080,26,0,0,0,0.650130952
2,0.8,2.9,1440,0,0,0,0,0.606912879
1,0.6,22.52,10170,23,0,0,0,0.600291767
1,0.5,14.89,9900,30,0,0,0,0.500025069
1,0.5,22.94,9810,23,0,0,0,0.499998888
2,0.65,4.15,2700,0,0,0,0,0.98719697
2,0.8,3.94,1800,0,0,0,0,0.980909091
2,0.8,3.94,1440,0,0,0,0,0.974621212
2,0.8,3.94,1440,0,0,0,0,0.884261364
2,0.8,3.94,1800,0,0,0,0,0.82680303
1,0.8,11.41,5490,63,0,0,0,0.800343766
1,0.8,11.61,5670,63,0,0,0,0.800246753
1,0.8,25.9,10170,50,0,0,0,0.800128721
1,0.8,25.9,10170,50,0,0,0,0.800128721
1,0.8,48.68,10620,63,0,0,0,0.800117103
1,0.8,26.16,10620,63,0,0,0,0.800117103
1,0.6,22.94,6570,23,0,0,0,0.77011398
1,0.7,22.52,10170,50,0,0,0,0.7005417
2,0.8,2.9,1440,0,0,0,0,0.675568182
2,0.8,2.9,1440,0,0,0,0,0.661837121
1,0.65,22.52,9720,35,0,0,0,0.650198653
1,0.6,22.52,10170,30,0,0,0,0.600291767
1,0.6,14.89,10080,38,0,0,0,0.600273268
2,0.8,2.9,900,0,0,0,0,0.465757576
1,0.7,41.19,10440,21,0,0,0,0.452012539
2,0.8,4.15,1260,0,0,0,0,0.313852814
2,0.6,4.15,1440,0,0,0,0,0.852793561
2,0.65,4.15,2160,0,0,0,0,0.838383838
2,0.8,2.9,1800,0,0,0,0,0.804848485
1,0.8,11.41,5490,63,0,0,0,0.800343766
1,0.8,48.84,10170,50,0,0,0,0.800128721
1,0.8,25.9,10170,38,0,0,0,0.800128721
1,0.8,26.16,3660,50,0,0,0,0.800015009
1,0.7,22.52,10170,50,0,0,0,0.7005417
1,0.7,22.52,10080,40,0,0,0,0.700094156
2,0.8,2.9,1440,0,0,0,0,0.692045455
1,0.8,26.87,5670,56,0,0,0,0.662255892
1,0.65,22.52,10170,35,0,0,0,0.650416734
1,0.65,14.89,10260,44,0,0,0,0.650299575
1,0.65,22.94,10170,26,0,0,0,0.650243497
2,0.8,2.9,1440,0,0,0,0,0.639867424
1,0.6,20.4,10440,30,0,0,0,0.600062696
2,0.8,3.94,1800,0,0,0,0,0.582045455
1,0.8,49.1,10350,24,0,0,0,0.403242161
2,0.7,3.94,1440,0,0,0,0,0.235795455
2,0.7,4.3,5040,0,0,0,0,0.977272727
2,0.8,3.94,1800,0,0,0,0,0.964106061
2,0.65,4.15,1440,0,0,0,0,0.958901515
1,0.8,11.41,4380,50,0,0,0,0.800358775
1,0.8,25.9,3630,50,0,0,0,0.800162602
1,0.8,26.16,10620,63,0,0,0,0.800117103
2,0.8,2.9,1440,0,0,0,0,0.793844697
1,0.7,22.94,10170,38,0,0,0,0.750517565
1,0.7,22.52,10260,63,0,0,0,0.750068049
1,0.7,22.52,10170,50,0,0,0,0.750062751
1,0.7,22.52,10080,63,0,0,0,0.750057359
1,0.7,14.89,10260,50,0,0,0,0.700170388
2,0.8,2.9,1440,0,0,0,0,0.683806818
1,0.65,20.4,8280,35,0,0,0,0.650066445
1,0.8,48.84,10260,30,0,0,0,0.576460393
1,0.5,22.94,10170,30,0,0,0,0.549969429
2,0.7,3.94,1440,0,0,0,0,0.538399621
2,0.7,4.15,1440,0,0,0,0,0.409545455
1,0.35,15.26,6120,23,0,0,0,0.35021836
2,0.7,4.15,1440,0,0,0,0,1.033570076
1,0.8,11.41,5580,63,0,0,0,0.800261486
1,0.8,25.9,10170,50,0,0,0,0.800128721
1,0.8,26.16,10620,63,0,0,0,0.800117103
1,0.7,22.52,10260,63,0,0,0,0.750068049
1,0.7,22.52,10080,63,0,0,0,0.750057359
1,0.7,22.52,8460,50,0,0,0,0.750037968
1,0.7,22.94,10260,50,0,0,0,0.750031898
2,0.8,3.94,1800,0,0,0,0,0.72830303
1,0.7,14.89,10260,50,0,0,0,0.700170388
1,0.7,20.4,10260,50,0,0,0,0.700063796
2,0.8,2.9,1440,0,0,0,0,0.639867424
1,0.5,15.26,3720,23,0,0,0,0.500290419
1,0.35,22.94,10080,30,0,0,0,0.400332792
2,0.7,4.15,2700,0,0,0,0,0.362666667
2,0.75,4.3,6000,0,0,0,0,0.978525641
2,0.7,3.94,5100,0,0,0,0,0.912202112
1,0.75,22.52,10080,94,0,0,0,0.900556277
1,0.8,11.61,5760,75,0,0,0,0.850410511
2,0.8,3.94,2400,0,0,0,0,0.827147436
1,0.8,25.9,7470,38,0,0,0,0.800436542
1,0.7,22.94,10500,60,0,0,0,0.800415742
1,0.7,22.52,10080,75,0,0,0,0.800020563
2,0.7,4.15,2400,0,0,0,0,0.758173077
1,0.7,20.4,10440,50,0,0,0,0.750344828
1,0.7,22.52,10260,63,0,0,0,0.750068049
1,0.7,14.89,10260,50,0,0,0,0.700170388
1,0.65,22.94,10260,34,0,0,0,0.700029771
1,0.6,15.26,6360,23,0,0,0,0.60017284
2,0.8,2.9,2400,0,0,0,0,0.594871795
1,0.8,54.56,4140,29,0,0,0,0.520237649
2,0.65,3.94,2400,0,0,0,0,0.505128205
1,0.5,22.52,10080,23,0,0,0,0.500241342
2,0.7,4.15,2700,0,0,0,0,0.470769231
2,0.6,3.94,6000,0,0,0,0,0.957638889
2,0.75,3.94,8400,0,0,0,0,0.940701058
1,0.75,22.52,10080,81,0,0,0,0.849983766
1,0.7,22.94,10620,60,0,0,0,0.800302791
1,0.8,11.61,6360,63,0,0,0,0.800191989
1,0.75,22.52,10080,55,0,0,0,0.800020563
1,0.7,22.94,12180,63,0,0,0,0.750162367
1,0.7,22.52,10260,63,0,0,0,0.750068049
2,0.7,4.15,9000,0,0,0,0,0.742901235
1,0.7,20.4,10440,40,0,0,0,0.700250784
1,0.7,14.89,10260,50,0,0,0,0.700170388
2,0.75,4.3,9000,0,0,0,0,0.670216049
2,0.7,3.94,15000,0,0,0,0,0.649662222
2,0.7,3.94,15000,0,0,0,0,0.649662222
2,0.8,2.9,4800,0,0,0,0,0.626822917
1,0.6,15.26,6960,23,0,0,0,0.600436426
1,0.6,22.52,10260,23,0,0,0,0.60041361
1,0.8,40.99,10770,30,0,0,0,0.555500132
1,0.5,29.12,10440,30,0,0,0,0.500547544
2,0.7,3.94,12000,0,0,0,0,0.460578704
2,0.8,2.9,4800,0,0,0,0,0.397743056
2,0.6,4.08,5400,0,0,0,0,0.327407407
2,0.7,4.15,2700,0,0,0,0,0.966666667
2,0.75,3.94,1800,0,0,0,0,0.937242424
2,0.8,2.9,1620,0,0,0,0,0.910521886
1,0.75,22.94,10260,94,0,0,0,0.90064806
1,0.75,22.52,10260,94,0,0,0,0.900321106
2,0.75,4.15,1800,0,0,0,0,0.896022727
2,0.75,3.94,1440,0,0,0,0,0.895454545
2,0.65,3.94,2160,0,0,0,0,0.870580808
2,0.7,4.08,1620,0,0,0,0,0.858585859
1,0.7,22.94,10260,75,0,0,0,0.800643806
1,0.75,22.52,10080,69,0,0,0,0.80062987
1,0.8,11.61,5640,63,0,0,0,0.800537143
1,0.75,22.52,10260,69,0,0,0,0.80035194
1,0.75,15.26,6120,40,0,0,0,0.750079323
1,0.75,42.97,10260,56,0,0,0,0.750041201
1,0.7,20.4,10440,50,0,0,0,0.700250784
2,0.75,4.3,2160,0,0,0,0,0.651515152
1,0.65,22.52,10170,26,0,0,0,0.650416734
1,0.6,29.12,6660,23,0,0,0,0.600125217
2,0.75,3.94,1440,0,0,0,0,0.578314394
2,0.7,3.94,1440,0,0,0,0,0.578314394
1,0.35,15.09,9360,23,0,0,0,0.34998951
2,0.6,3.94,1440,0,0,0,0,0.261174242
2,0.7,4.15,3060,0,0,0,0,0.973796791
2,0.75,3.94,1440,0,0,0,0,0.970075758
2,0.7,3.94,1440,0,0,0,0,0.970075758
2,0.75,3.94,1620,0,0,0,0,0.961784512
2,0.75,3.94,3420,0,0,0,0,0.955151515
2,0.75,4.3,2160,0,0,0,0,0.952020202
1,0.75,22.52,10260,94,0,0,0,0.900321106
1,0.75,22.94,10530,81,0,0,0,0.850223776
1,0.7,22.94,10530,75,0,0,0,0.800909609
1,0.75,22.52,10350,55,0,0,0,0.800513307
1,0.8,11.61,5760,63,0,0,0,0.800386364
1,0.75,22.52,10080,69,0,0,0,0.800020563
2,0.65,3.94,2520,0,0,0,0,0.749188312
1,0.7,22.52,10170,40,0,0,0,0.7005417
1,0.7,15.26,6120,40,0,0,0,0.70043672
1,0.7,20.4,10440,50,0,0,0,0.700250784
1,0.65,29.12,10440,26,0,0,0,0.650407524
2,0.7,4.08,1620,0,0,0,0,0.618181818
1,0.75,42.97,10260,40,0,0,0,0.59114168
1,0.5,15.09,720,23,0,0,0,0.500061916
2,0.8,2.9,720,0,0,0,0,0.329545455
2,0.75,3.94,1800,0,0,0,0,1.059621212
2,0.75,3.94,3780,0,0,0,0,0.997792208
2,0.75,4.3,2160,0,0,0,0,0.963699495
2,0.7,4.15,2700,0,0,0,0,0.959191919
2,0.75,3.94,1800,0,0,0,0,0.910378788
2,0.7,3.94,1800,0,0,0,0,0.910378788
1,0.8,22.52,10170,60,0,0,0,0.850312684
1,0.8,11.61,5760,50,0,0,0,0.800386364
1,0.75,22.52,10260,69,0,0,0,0.80035194
1,0.75,22.94,10260,55,0,0,0,0.800034024
1,0.7,22.94,10440,60,0,0,0,0.800023511
1,0.75,22.52,10080,55,0,0,0,0.800020563
2,0.7,4.08,1620,0,0,0,0,0.769292929
1,0.75,20.4,10320,56,0,0,0,0.750031447
1,0.7,29.12,10440,40,0,0,0,0.70061442
1,0.7,15.26,6120,40,0,0,0,0.70043672
2,0.65,3.94,1440,0,0,0,0,0.646306818
1,0.6,15.09,360,23,0,0,0,0.600143365
1,0.35,28.08,10260,23,0,0,0,0.350066986
1,0.75,22.52,6840,119,0,0,0,1.000230409
1,0.75,22.52,6840,119,0,0,0,1.000230409
2,0.8,3.94,1440,0,0,0,0,0.979527778
2,0.8,4.3,1440,0,0,0,0,0.940625
2,0.5,4.15,1440,0,0,0,0,0.926388889
1,0.8,22.52,6720,70,0,0,0,0.900129762
2,0.75,3.94,1440,0,0,0,0,0.861875
1,0.8,22.52,6780,60,0,0,0,0.850312684
2,0.65,3.94,960,0,0,0,0,0.845458333
2,0.7,4.15,1080,0,0,0,0,0.823555556
2,0.5,4.15,960,0,0,0,0,0.803541667
1,0.75,22.94,6960,55,0,0,0,0.800263218
2,0.75,3.94,1200,0,0,0,0,0.788
2,0.75,3.94,1200,0,0,0,0,0.77815
1,0.7,29.12,6960,50,0,0,0,0.700386207
1,0.7,15.26,4080,40,0,0,0,0.700164706
1,0.65,15.09,240,23,0,0,0,0.650307143
1,0.8,30.4,3840,34,0,0,0,0.622828125
2,0.8,2.9,960,0,0,0,0,0.6225
1,0.5,20.79,6960,30,0,0,0,0.500035345
1,0.5,48.18,6480,23,0,0,0,0.37046657
1,0.8,22.52,6840,90,0,0,0,1.000230409
1,0.8,22.52,6840,113,0,0,0,1.000230409
2,0.35,2.9,1800,0,0,0,0,0.977555556
2,0.75,3.94,1200,0,0,0,0,0.9456
2,0.8,3.94,1800,0,0,0,0,0.902222222
1,0.8,22.52,6720,60,0,0,0,0.850532143
1,0.75,22.94,6960,81,0,0,0,0.850362069
2,0.8,3.94,1200,0,0,0,0,0.840533333
1,0.6,20.79,6960,88,0,0,0,0.800534483
1,0.8,22.52,6780,50,0,0,0,0.800489676
2,0.75,4.08,1080,0,0,0,0,0.755555556
1,0.7,29.12,6960,63,0,0,0,0.750593103
1,0.75,15.26,3600,45,0,0,0,0.750283333
2,0.8,4.3,1440,0,0,0,0,0.722638889
2,0.65,4.15,960,0,0,0,0,0.553333333
1,0.5,20.1,5880,46,0,0,0,0.500567308
1,0.7,38.09,6240,0,0,0,0,0.467693269
1,0.35,18.79,1800,23,0,0,0,0.437995338
2,0.6,3.94,960,0,0,0,0,0.406354167
1,0.6,23.54,6600,0,0,0,0,0.285333333
2,0.5,2.9,960,0,0,0,0,0.259375
1,0.8,22.52,6840,113,0,0,0,1.000230409
2,0.8,4.3,1200,0,0,0,0,0.989
1,0.8,22.52,6840,100,0,0,0,0.950185965
1,0.8,22.52,6900,88,0,0,0,0.9008
1,0.8,22.52,6720,88,0,0,0,0.900129762
2,0.5,2.9,1200,0,0,0,0,0.899
2,0.65,4.15,960,0,0,0,0,0.877552083
2,0.6,2.9,960,0,0,0,0,0.864583333
2,0.8,3.94,1200,0,0,0,0,0.85695
2,0.75,3.94,1200,0,0,0,0,0.853666667
1,0.75,22.94,6960,81,0,0,0,0.850362069
1,0.7,29.12,6960,53,0,0,0,0.850170115
1,0.65,20.79,7080,81,0,0,0,0.800473729
2,0.8,3.94,1200,0,0,0,0,0.773333333
1,0.75,15.26,4200,45,0,0,0,0.750646667
2,0.75,4.08,1080,0,0,0,0,0.634666667
1,0.6,20.1,4320,46,0,0,0,0.60059761
1,0.5,18.79,3960,23,0,0,0,0.500117677
2,0.8,3.94,960,0,0,0,0,0.4925
1,0.65,23.54,6600,0,0,0,0,0.48792
