 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Class
0.558182616,0.624291321,0.610525189,0.616029346,0.61570504,0.999187703,0.797662959,0.809548621,0.303544829,0.78183187,0.000135642,7910000000.0,0.469709704,730000000.0,0.093126835,0.19308078,0.19308078,0.19308078,0.24534367,0.321956568,0.025938866,0.12262845,0.196354598,0.022109137,0.848048216,0.689505121,0.689505121,0.217607159,7440000000.0,0.000498364,0.264351042,0.381217168,0.031921897,0.022838798,0.630614307,0.001917763,0.051123137,0.948876863,0.007443857,0.369853025,0.005728405,0.122632599,0.195407586,0.400849116,0.137931034,0.00073651,0.008586909,8370000000.0,0.00085106,0.027741935,0.018970962,0.406288867,0.003103409,0.896880324,0.501812691,0.655944683,0.143448037,0.023542473,0.019352212,0.038942117,0.357988496,0.277139047,0.02197411,0.68878535,0.739250352,0.327422794,0.0,0.947864569,0.002639544,0.021598904,0.000197059,0.000153734,0.594032069,0.000119107,0.671567713,0.085959187,0.68878535,0.327422794,0.110933234,0.635785874,0.45589925,0.594814102,0.313757851,0.009125368,0,0.847749511,0.001452658,0.624277545,0.616029197,0.842952777,0.276169747,0.026791779,0.565161359,1,0.075267427,0
0.446156096,0.548789795,0.497296429,0.593998184,0.594308076,0.998860242,0.797445903,0.809370902,0.303850578,0.781382886,0.000120031,17000000.0,0.459305671,0.000756076,0.0,0.170999958,0.170999958,0.170999958,0.204500331,0.316014713,0.012311508,0.0894064,0.172855314,0.022286969,0.84810373,0.689821329,0.689821329,0.217593461,7200000000.0,0.000454569,0.264821161,0.37471592,0.009996225,0.004372498,0.631386899,0.003302966,0.078362608,0.921637392,0.005253709,0.37217586,0.006594277,0.089419773,0.171872408,0.396977317,0.085457271,0.003536465,0.001788085,7570000000.0,0.000104397,0.021290323,0.018832895,0.385631261,0.022183126,0.791976814,0.23597081,0.377577726,0.060037597,0.006077159,0.0044623,0.071073335,0.335371872,0.277475589,0.010469708,0.842542372,0.734250497,0.328734455,0.0,0.934220415,0.00228421,0.027097064,0.000181321,0.000114942,0.593967701,7960000000.0,0.671562877,0.387828573,0.842542372,0.328734455,0.110933234,0.633731698,0.45635815,0.550817408,0.313396328,0.029197766,0,0.804555135,0.004423714,0.623741231,0.593998068,0.840584215,0.277174461,0.027053117,0.56615935,1,0.049059013,0
0.512065519,0.550261666,0.55511537,0.619178714,0.619178714,0.999109478,0.797512721,0.809399806,0.303445974,0.781665554,0.000269664,0.000116133,0.474421882,0.000249025,0.258730641,0.17706797,0.17706797,0.17706797,0.219911128,0.323229822,0.012114887,0.103574627,0.175717406,0.022108299,0.848036322,0.68951496,0.68951496,0.217607245,6530000000.0,0.000455917,0.26406664,0.383238329,0.016639574,0.010040712,0.631156423,0.00374707,0.085860265,0.914139735,0.005083103,0.373115283,0.005365848,0.103579396,0.174737953,0.397412727,0.068965517,0.000929261,0.006810778,5890000000.0,5070000000.0,0.019677419,0.00467077,0.394247077,0.011617703,0.806520617,0.220990945,0.31699888,0.111098161,0.011272261,0.016122769,0.036167554,0.356176771,0.27723255,0.014205213,0.386965171,0.735181486,0.327525975,0.017503532,0.93508174,0.002303685,0.024240493,0.000182302,0.00012983,0.594000196,0.00017561,0.671591042,0.686215059,0.386965171,0.327525975,0.118390779,0.658271481,0.463735328,0.608610757,0.316586675,0.017630284,0,0.806411614,0.000823411,0.624017237,0.619179495,0.840724925,0.277496312,0.026883431,0.565563048,1,0.044619765,0
0.388046605,0.461458788,0.458108036,0.596289944,0.596289944,0.998682299,0.795878367,0.808276203,0.301484104,0.780657691,0.000329911,0.0,0.30665224,0.0,0.0,0.161982217,0.161982217,0.161982217,0.204027607,0.306359199,0.002586324,0.091849198,0.155984033,0.023696903,0.847911836,0.688445235,0.688445235,0.217498609,4470000000.0,0.000398596,0.262754971,0.343588167,0.060668765,0.059328473,0.630610197,0.000376622,0.011639508,0.988360492,0.007451922,0.369637181,0.005743029,0.091829922,0.154980771,0.393849064,0.023988006,0.003025169,0.002090369,0.002342937,0.000185342,0.011774194,0.008245818,0.384285747,0.007314288,0.840631318,0.375493307,0.359732364,0.06087531,0.060799651,0.028087297,0.011048282,0.014723382,0.27697486,0.0,0.696702153,0.735807676,0.326479662,0.0,0.915782005,0.002092567,0.058553653,0.000535035,0.000566251,0.594253852,0.000236888,0.671243529,0.099418523,0.696702153,0.326479662,0.110933234,0.533624802,0.280653485,0.399980625,0.303902985,0.004679835,0,0.748854377,0.000454294,0.624641886,0.596288128,0.837757526,0.275052305,0.026790671,0.56515608,1,0.271139811,0
0.476673329,0.541648495,0.525777611,0.59701783,0.59701783,0.998979256,0.797383373,0.809308668,0.30349238,0.781567027,444000000.0,0.0,0.458586011,0.000567057,0.384755542,0.17213771,0.17213771,0.17213771,0.215656613,0.302539436,0.106145167,0.10447032,0.171951495,0.022061475,0.847977867,0.689148315,0.689148315,0.217565162,5930000000.0,0.000611707,0.263730175,0.357047055,0.0097722,0.006895308,0.634364255,0.014750271,0.183057714,0.816942286,0.006032627,0.38085993,0.005365848,0.104450633,0.170251112,0.422616934,0.349325337,0.000807523,0.007838031,0.000166998,0.001919991,0.136290323,0.10690187,0.398600213,0.007047687,0.845066773,0.691922182,0.900345834,0.031316573,0.007273587,0.000965178,0.17207376,0.333088114,0.27731928,0.006804383,0.898141352,0.742100483,0.338021742,0.002061969,0.93234666,0.002237541,0.026508547,9020000000.0,7170000000.0,0.59394204,943000000.0,0.671574045,0.095546836,0.898141352,0.338021742,0.115475365,0.650438854,0.460325732,0.520024138,0.316392247,0.029853162,0,0.797124168,0.00099402,0.623912486,0.597017816,0.840182695,0.28547618,0.030816292,0.569149435,1,0.019199176,0
0.51655048,0.576809856,0.561700305,0.614249269,0.614249269,0.999111673,0.797560864,0.809439386,0.303525735,0.781705413,0.000188372,5280000000.0,0.467121277,0.000156016,0.223605628,0.180059837,0.180059837,0.180059837,0.231918313,0.329985145,0.027768955,0.114730071,0.18822023,0.022121811,0.848064509,0.689394294,0.689394294,0.217604999,764000000.0,0.000509868,0.263951636,0.395924146,0.007446467,0.003893388,0.630768414,0.007976545,0.137920609,0.862079391,0.005283825,0.376124791,0.005365848,0.114555344,0.186893899,0.404249333,0.11994003,0.000564049,0.011208409,667000000.0,0.000225436,0.034354839,0.029975177,0.407023812,0.019486454,0.778073083,0.327527602,0.510378707,0.037197335,0.004640554,0.001546467,0.1274377,0.355779885,0.277951695,0.007599116,0.876619939,0.734046345,0.33247299,0.003195074,0.939499377,0.002390718,0.025945844,0.000177547,0.000115365,0.593940294,3590000000.0,0.671568176,0.293594566,0.876619939,0.33247299,0.113814174,0.637410118,0.458256732,0.632264271,0.313602928,0.038901069,0,0.820370433,0.001293075,0.623618973,0.614245364,0.842158349,0.280564141,0.026830052,0.565337273,1,0.026686846,0
0.731828596,0.805876581,0.803897425,0.644625895,0.644625895,0.999554219,0.798069127,0.809939734,0.303487788,0.782248713,0.000232776,0.000142959,0.465462201,0.000230023,0.024293957,0.226876238,0.226876238,0.226876238,0.345844757,0.328641154,0.043135653,0.214477648,0.276945093,0.02419334,0.858322221,0.706585141,0.706585141,0.219573864,0.000236224,0.000783019,0.272436301,0.386107075,0.00906955,0.00710679,0.630651635,0.006576752,0.123771805,0.876228195,0.005234549,0.375435881,0.005365848,0.214470663,0.276065153,0.402393817,0.154422789,0.0008339,0.007577588,9170000000.0,0.000231488,0.035645161,0.012728581,0.417109518,0.011847712,0.793175145,0.399126778,0.459564151,0.059821097,0.00765726,0.003335337,0.094904239,0.349553645,0.27722281,0.004001305,0.722998848,0.734945502,0.330485457,0.007977509,0.967034187,0.002861274,0.028717661,0.000175569,0.000156911,0.593958296,6340000000.0,0.671593754,0.38295856,0.722998848,0.330485457,0.116892923,0.669109813,0.464635129,0.600442048,0.318764553,0.032113487,0,0.902103564,0.000818104,0.623846048,0.644621074,0.848498311,0.279548786,0.026796701,0.565184693,1,0.030119376,0
0.543118998,0.592073703,0.584934954,0.605334467,0.605334467,0.999076315,0.797531259,0.80941556,0.303547487,0.781677764,8070000000.0,0.0,0.494449896,0.004210421,0.238789351,0.180144115,0.180144115,0.180144115,0.228703791,0.325776332,0.028328569,0.110495888,0.185358138,0.022100034,0.848037746,0.689410163,0.689410163,0.217595057,7260000000.0,0.000477752,0.263941534,0.389441526,0.035788344,0.017044568,0.630685196,0.00113169,0.032439459,0.967560541,0.005577706,0.369637181,0.005365848,0.11045972,0.184382777,0.399619251,0.1994003,0.001477078,0.0042815,8920000000.0,0.000333616,0.033548387,0.036417314,0.405983582,0.013967954,0.855660637,0.223669325,0.457361662,0.071681457,0.017033936,0.015461824,0.024176774,0.405546402,0.277291921,0.048748098,0.648083512,0.736813361,0.326894987,0.0,0.946095524,0.00255293,0.017883677,8720000000.0,4140000000.0,0.593972673,4100000000.0,0.671581119,0.292650259,0.648083512,0.326894987,0.110933234,0.662887972,0.473483226,0.639742851,0.3166659,0.008115269,0,0.829769742,0.001684968,0.62409483,0.60533338,0.841808044,0.27559973,0.026807164,0.565233585,1,0.115630559,0
0.471213377,0.522623201,0.514106751,0.605759668,0.605802909,0.998936503,0.79731448,0.809214926,0.303461201,0.781450115,0.000228035,1710000000.0,0.461063721,0.000611061,0.0,0.169946484,0.169946484,0.169946484,0.208565756,0.316898918,0.011555273,0.093884863,0.167206447,0.022053984,0.847855205,0.686230823,0.685843866,0.217403972,5900000000.0,0.000437051,0.26377913,0.375423792,0.00396005,0.002378704,0.627512979,0.01132602,0.163950782,0.836049218,0.005342835,0.375217801,0.005365848,0.093881805,0.166216726,0.399209296,0.046476762,0.000744626,0.008489563,5220000000.0,0.000116501,0.020322581,0.005029156,0.391522127,0.005443506,0.715350881,0.184430579,0.269480953,0.012037006,0.00266819,0.000515143,0.123785433,0.339951054,0.276612135,0.003692086,0.716938549,0.728669926,0.333484602,0.001483614,0.924721755,0.002163503,0.018574516,0.000225801,0.000157885,0.593837754,2720000000.0,0.671567861,0.208827207,0.716938549,0.333484602,0.11178714,0.640389724,0.458878586,0.560882223,0.314036846,0.070960174,0,0.788717209,0.002337983,0.622948631,0.605758605,0.83929154,0.282993311,0.025832248,0.515778598,1,0.021877852,0
0.503241847,0.549171391,0.559505327,0.603893109,0.603893109,0.999001672,0.797421278,0.809345644,0.303511716,0.781612501,0.000132404,2390000000.0,0.463967523,0.00050305,0.0,0.179722726,0.179722726,0.179722726,0.220383852,0.320577209,0.027965576,0.100561843,0.174060405,0.022135496,0.848090272,0.689377472,0.689377472,0.217598067,7030000000.0,0.000447806,0.264012246,0.377836146,0.010437409,0.006787384,0.631660183,0.005845393,0.115336941,0.884663059,0.005156685,0.373875768,0.005365848,0.100534141,0.173101576,0.402163385,0.134932534,0.000819697,0.007705675,9400000000.0,0.000148274,0.032096774,0.011958932,0.393568666,0.010287864,0.802469638,0.302793966,0.446136631,0.023103422,0.006877202,0.00151987,0.080361392,0.345765185,0.277386556,0.009544499,0.654379171,0.735435065,0.329657032,0.006070025,0.934534782,0.002288545,0.024101141,0.000130843,9050000000.0,0.593956528,1930000000.0,0.671571474,0.449118618,0.654379171,0.329657032,0.115134061,0.641654485,0.458995083,0.583818728,0.314371255,0.027984906,0,0.804214862,0.00497457,0.623871338,0.60389427,0.840668588,0.279018663,0.027163318,0.566470761,1,0.032550096,0
