age,job,balance,contact,day,month,duration,pdays,deposit
29,0,163,2,16,8,803,-1,1
37,7,49,2,16,8,619,-1,1
33,1,-416,2,16,8,767,-1,1
24,9,409,2,16,8,912,-1,1
50,0,363,2,16,8,1340,-1,1
27,9,3706,2,16,8,897,-1,1
54,4,4393,2,16,8,1297,-1,1
30,9,863,2,16,8,1193,-1,1
34,1,695,2,16,8,1064,-1,1
37,4,792,2,16,8,1187,-1,1
41,0,1020,2,19,8,882,-1,1
47,1,863,2,19,8,943,-1,1
31,0,97,2,19,8,607,-1,1
31,1,754,2,19,8,1022,-1,1
43,7,1040,2,19,8,552,-1,1
37,4,122,2,19,8,1622,-1,1
30,9,880,2,19,8,967,-1,1
41,9,501,2,19,8,579,-1,1
36,1,4438,2,20,8,446,-1,1
35,1,0,2,20,8,1205,-1,1
29,7,271,2,20,8,1882,-1,1
35,1,102,2,20,8,1334,-1,1
31,1,2,2,20,8,182,-1,1
35,7,4170,2,20,8,1777,-1,1
34,9,85,2,20,8,1182,-1,1
31,0,431,2,20,8,1045,-1,1
44,9,982,2,20,8,650,-1,1
36,1,408,2,20,8,1063,-1,1
35,1,4822,2,20,8,843,-1,1
41,1,1250,2,20,8,1392,-1,1
31,1,216,2,21,8,565,-1,1
34,1,1207,2,21,8,905,-1,1
32,9,791,2,21,8,783,-1,1
36,4,849,2,21,8,958,-1,1
30,1,239,2,21,8,412,-1,1
37,9,1211,2,21,8,795,-1,1
36,1,599,2,21,8,649,-1,1
31,4,825,2,21,8,506,-1,1
27,9,2183,2,21,8,857,-1,1
34,5,4499,2,21,8,1681,-1,1
30,9,1289,2,21,8,1697,-1,1
32,9,4665,2,21,8,860,-1,1
37,9,3326,2,21,8,799,-1,1
32,1,783,2,21,8,923,-1,1
33,1,0,2,21,8,521,-1,1
35,1,994,2,23,8,1349,-1,1
35,6,1354,2,23,8,736,-1,1
30,1,239,2,23,8,785,-1,1
45,1,-311,2,23,8,1030,-1,1
45,0,149,2,23,8,893,-1,1
33,1,1464,2,23,8,588,-1,1
44,4,5773,2,23,8,597,-1,1
40,1,278,2,23,8,1015,-1,1
31,1,2910,2,23,8,1392,-1,1
30,9,541,2,26,8,414,-1,1
44,9,1262,2,26,8,788,-1,1
34,7,-538,2,26,8,682,-1,1
37,1,125,2,26,8,679,-1,1
28,6,0,2,26,8,1560,-1,1
32,0,620,2,26,8,1234,-1,1
37,1,316,2,26,8,642,-1,1
34,4,2287,2,26,8,895,-1,1
38,0,198,2,26,8,431,-1,1
28,0,460,2,26,8,741,-1,1
31,4,1145,2,26,8,1272,-1,1
59,7,-22,2,26,8,748,-1,1
24,1,685,2,26,8,896,-1,1
26,7,901,2,26,8,764,-1,1
59,5,351,2,27,8,1063,-1,1
30,2,0,2,27,8,1051,-1,1
37,0,274,2,27,8,731,-1,1
30,0,-213,2,27,8,751,-1,1
25,1,97,2,27,8,709,-1,1
44,7,51,2,27,8,3094,-1,1
29,4,314,2,28,8,938,-1,1
26,4,6840,2,28,8,1560,-1,1
26,9,668,2,28,8,576,-1,1
27,7,54,2,28,8,543,-1,1
25,6,1242,2,28,8,615,-1,1
28,4,292,2,28,8,507,-1,1
23,7,665,2,28,8,1183,-1,1
34,4,1058,2,28,8,864,-1,1
28,8,949,2,28,8,1730,-1,1
51,2,606,2,28,8,560,-1,1
35,1,0,2,29,8,543,-1,1
35,0,404,2,29,8,539,-1,1
56,1,249,2,29,8,791,-1,1
45,10,3354,2,29,8,746,-1,1
60,1,0,2,29,8,1207,-1,1
56,9,589,2,29,8,535,-1,1
27,4,12956,2,29,8,789,-1,1
30,0,873,2,29,8,792,-1,1
45,1,594,2,29,8,833,-1,1
29,1,-20,2,29,8,814,-1,1
38,4,4692,2,29,8,1363,-1,1
30,1,486,2,29,8,1109,-1,1
44,1,1593,2,29,8,828,-1,1
36,4,7606,2,30,8,917,-1,1
38,9,226,2,30,8,762,-1,1
36,1,366,2,30,8,1133,-1,1
37,4,16,2,30,8,638,-1,1
35,4,565,2,30,8,763,-1,1
38,0,19,2,30,8,604,-1,1
40,7,1082,2,30,8,854,-1,1
42,10,1713,2,30,8,855,-1,1
46,4,14481,2,30,8,1269,-1,1
35,9,5724,2,30,8,691,-1,1
34,9,1451,2,30,8,1097,-1,1
32,7,-34,2,30,8,1236,-1,1
50,10,3674,2,30,8,886,-1,1
35,1,698,2,30,8,1343,-1,1
36,9,4136,2,30,8,812,-1,1
53,1,2656,2,30,8,1980,-1,1
46,4,2904,2,30,8,984,-1,1
26,4,1004,2,30,8,228,-1,1
45,9,410,2,30,8,891,-1,1
31,10,0,2,30,8,745,-1,1
29,4,0,2,30,8,539,-1,1
53,2,62,2,30,8,1044,-1,1
27,1,416,2,30,8,1193,-1,1
39,4,2763,2,2,6,526,-1,1
36,7,2984,2,2,6,394,-1,1
41,1,143,2,2,6,659,-1,1
36,7,0,2,2,6,1036,-1,1
32,9,696,2,2,6,815,-1,1
35,7,152,2,2,6,563,-1,1
36,4,-78,2,2,6,1068,-1,1
35,4,867,2,2,6,230,-1,1
30,1,953,2,2,6,747,-1,1
42,1,443,2,2,6,671,-1,1
42,9,-1129,2,2,6,555,-1,1
32,1,415,2,2,6,777,-1,1
29,1,260,2,2,6,707,-1,1
44,4,-411,2,2,6,432,-1,1
32,9,1279,2,3,6,1173,-1,1
31,10,86,2,3,6,963,-1,1
40,6,-754,2,3,6,941,-1,1
43,2,0,2,3,6,1025,-1,1
27,4,178,2,3,6,732,-1,1
37,7,278,2,3,6,1045,-1,1
23,7,425,2,3,6,768,-1,1
25,4,168,2,3,6,801,-1,1
26,1,-36,2,3,6,482,-1,1
47,1,126,2,3,6,2456,-1,1
35,0,-87,2,3,6,1363,-1,1
32,9,6281,2,3,6,1336,-1,1
45,4,644,2,4,6,633,-1,1
30,0,377,2,4,6,524,-1,1
29,7,-271,2,4,6,578,-1,1
38,1,5839,2,4,6,984,-1,1
23,1,492,2,4,6,638,-1,1
27,4,99,2,4,6,767,-1,1
27,4,-713,2,4,6,525,-1,1
29,7,32,2,4,6,563,-1,1
30,6,543,2,4,6,1449,-1,1
36,1,403,2,4,6,920,-1,1
35,0,437,2,4,6,908,-1,1
36,1,1772,2,5,6,208,-1,1
59,5,-88,2,5,6,910,-1,1
47,2,0,2,5,6,1446,-1,1
58,2,853,2,5,6,1149,-1,1
37,4,240,2,5,6,1123,-1,1
46,0,849,2,5,6,508,-1,1
43,1,318,2,5,6,736,-1,1
27,4,703,2,5,6,590,-1,1
38,7,61,2,5,6,636,-1,1
53,3,104,2,5,6,701,-1,1
47,1,1996,2,5,6,761,-1,1
56,3,1238,2,5,6,1558,-1,1
41,3,879,2,5,6,1053,-1,1
29,6,425,2,5,6,562,-1,1
50,9,416,2,5,6,494,-1,1
45,1,844,2,5,6,1018,-1,1
35,1,860,2,5,6,884,-1,1
26,9,639,2,6,6,709,-1,1
26,0,710,2,6,6,1276,-1,1
37,1,1508,2,6,6,381,-1,1
30,0,223,2,6,6,862,-1,1
38,4,619,2,6,6,460,-1,1
37,7,319,2,6,6,467,-1,1
53,9,480,2,6,6,648,-1,1
29,1,213,2,6,6,2653,-1,1
35,4,68,2,6,6,1085,-1,1
28,1,2788,2,6,6,369,-1,1
55,1,7561,2,6,6,685,-1,1
49,4,-46,2,9,6,1055,-1,1
50,7,1595,2,9,6,882,-1,1
43,4,1046,2,9,6,901,-1,1
58,6,1382,2,9,6,700,-1,1
38,9,217,2,9,6,491,-1,1
48,1,183,2,9,6,940,-1,1
59,4,1321,2,9,6,3881,-1,1
58,1,25,2,9,6,486,-1,1
36,6,4844,2,9,6,1137,-1,1
42,2,5345,2,11,6,878,-1,1
41,0,812,2,11,6,583,-1,1
42,0,105,2,11,6,1159,-1,1
39,4,-190,2,11,6,893,-1,1
57,3,625,2,11,6,867,-1,1
52,5,293,2,11,6,706,-1,1
59,5,1033,2,11,6,1199,-1,1
56,1,1210,2,11,6,935,-1,1
49,4,64,2,11,6,586,-1,1
35,1,164,2,11,6,967,-1,1
36,10,1766,2,11,6,595,-1,1
40,0,1248,2,11,6,1290,-1,1
55,1,0,2,12,6,614,-1,1
58,0,826,2,12,6,885,-1,1
39,6,2630,2,12,6,651,-1,1
47,3,3727,2,12,6,993,-1,1
40,4,406,2,12,6,577,-1,1
35,1,2999,2,12,6,1141,-1,1
48,1,1000,2,12,6,1268,-1,1
48,4,503,2,12,6,1243,-1,1
24,1,-203,2,12,6,465,-1,1
49,1,361,2,16,6,513,-1,1
36,1,274,2,16,6,686,-1,1
52,5,3687,2,16,6,741,-1,1
42,2,323,2,16,6,617,-1,1
36,7,981,2,16,6,1093,-1,1
36,1,638,2,16,6,1395,-1,1
48,10,3229,2,16,6,1089,-1,1
51,4,1610,2,16,6,1248,-1,1
51,1,33,2,16,6,721,-1,1
46,9,536,2,16,6,750,-1,1
37,4,0,2,16,6,637,-1,1
36,2,3057,2,16,6,2769,-1,1
47,4,2892,2,17,6,556,-1,1
40,9,0,2,17,6,522,-1,1
38,8,3316,2,17,6,1345,-1,1
40,4,106,2,17,6,676,-1,1
39,1,2303,2,17,6,775,-1,1
60,4,3301,2,17,6,2621,-1,1
39,6,426,2,18,6,1029,-1,1
51,7,9,2,18,6,371,-1,1
27,0,-97,2,18,6,1528,-1,1
41,4,11008,2,18,6,1540,-1,1
42,1,4930,2,18,6,973,-1,1
41,2,707,2,18,6,707,-1,1
33,9,4,2,18,6,625,-1,1
46,0,126,2,18,6,1255,-1,1
31,1,671,2,18,6,704,-1,1
41,1,219,2,18,6,1574,-1,1
41,1,3622,2,19,6,1135,-1,1
55,5,1580,2,19,6,1007,-1,1
53,9,1319,2,19,6,1318,-1,1
55,3,2152,2,19,6,922,-1,1
39,7,2843,2,19,6,585,-1,1
40,2,0,2,19,6,952,-1,1
59,5,1115,2,19,6,834,-1,1
42,1,625,2,19,6,651,-1,1
41,1,246,2,19,6,683,-1,1
27,1,61,2,19,6,1012,-1,1
25,1,-191,2,19,6,958,-1,1
43,10,519,2,20,6,973,-1,1
44,7,522,2,20,6,911,-1,1
26,1,-46,2,20,6,382,-1,1
52,5,2269,2,20,6,1210,-1,1
54,7,386,2,20,6,838,-1,1
56,4,0,2,20,6,422,-1,1
57,4,9103,2,20,6,1098,-1,1
29,1,908,2,20,6,1663,-1,1
47,9,1694,2,20,6,560,-1,1
57,4,-92,2,20,6,1617,-1,1
40,1,188,2,20,6,570,-1,1
46,7,0,2,20,6,1023,-1,1
43,1,740,2,20,6,585,-1,1
45,4,655,2,20,6,693,-1,1
24,4,867,2,20,6,546,-1,1
40,1,1009,2,20,6,1036,-1,1
38,7,6360,2,20,6,1409,-1,1
36,10,4145,2,20,6,988,-1,1
27,1,-27,2,23,6,498,-1,1
26,0,-122,2,23,6,670,-1,1
43,4,149,2,23,6,662,-1,1
25,1,52,2,24,6,528,-1,1
27,1,335,2,26,6,519,-1,1
30,9,526,2,26,6,677,-1,1
28,0,-7,2,26,6,3183,-1,1
27,1,-413,2,27,6,422,-1,1
32,0,-241,2,27,6,856,-1,1
41,1,75,2,1,5,479,-1,1
37,9,0,2,1,5,1135,-1,1
27,9,158,2,1,5,650,-1,1
29,7,84,2,3,5,587,-1,1
33,7,114,2,3,5,676,-1,1
36,9,0,2,4,5,584,-1,1
28,1,-127,0,4,5,1044,-1,1
55,1,49,0,7,5,494,-1,1
51,9,216,0,7,5,615,-1,1
39,9,506,0,7,5,718,-1,1
42,1,213,0,7,5,434,-1,1
33,7,170,0,7,5,782,-1,1
36,2,776,0,7,5,722,-1,1
45,9,879,0,7,5,621,-1,1
37,6,1633,0,7,5,629,-1,1
46,10,926,0,7,5,385,-1,1
32,6,2559,0,7,5,889,-1,1
28,9,909,0,7,5,532,-1,1
45,0,-176,0,7,5,574,-1,1
41,1,1085,0,7,5,599,-1,1
59,1,1265,0,7,5,849,-1,1
47,9,-239,0,7,5,973,-1,1
31,1,726,0,7,5,719,-1,1
31,4,296,0,8,5,509,-1,1
33,2,-627,0,8,5,740,-1,1
52,2,-468,0,8,5,534,-1,1
26,6,551,0,8,5,531,-1,1
25,9,0,0,8,5,634,-1,1
25,1,101,0,8,5,460,-1,1
28,1,517,0,8,5,681,-1,1
33,2,37,0,8,5,1082,-1,1
45,4,854,0,8,5,730,-1,1
36,7,30,0,8,5,716,-1,1
26,1,81,0,8,5,803,-1,1
38,9,0,0,8,5,635,-1,1
56,1,663,0,8,5,819,-1,1
26,0,102,0,8,5,658,-1,1
26,9,370,0,8,5,1061,-1,1
25,1,189,0,8,5,687,-1,1
26,10,111,0,9,5,537,-1,1
40,1,665,0,9,5,781,-1,1
37,0,214,0,9,5,645,-1,1
43,1,0,0,9,5,1242,-1,1
41,7,1583,0,9,5,662,-1,1
49,1,0,0,9,5,625,-1,1
29,0,0,0,9,5,426,-1,1
39,7,687,0,9,5,869,-1,1
38,4,327,0,9,5,556,-1,1
26,9,-119,0,9,5,359,-1,1
32,4,794,0,9,5,1014,-1,1
33,1,-191,0,9,5,1290,-1,1
31,4,409,0,9,5,564,-1,1
49,1,3,0,9,5,1439,-1,1
27,10,9,0,9,5,919,-1,1
30,1,155,0,9,5,1426,-1,1
35,1,1330,0,10,5,901,-1,1
26,1,-29,0,10,5,998,-1,1
45,2,3133,0,10,5,804,-1,1
34,0,-33,0,10,5,961,-1,1
28,0,-170,0,10,5,720,-1,1
25,1,1243,0,10,5,1341,-1,1
30,1,1598,0,10,5,634,-1,1
30,7,5,0,10,5,829,-1,1
47,7,367,0,10,5,476,-1,1
57,0,658,0,10,5,724,-1,1
38,4,1722,0,10,5,500,-1,1
54,9,-315,0,10,5,2029,-1,1
25,1,2483,0,10,5,1499,-1,1
30,1,0,0,10,5,1399,-1,1
26,4,45,0,10,5,1187,-1,1
31,8,46,0,10,5,487,-1,1
29,1,482,0,10,5,1097,-1,1
49,1,3728,0,11,5,1060,-1,1
60,5,1099,0,11,5,764,-1,1
60,4,2222,0,11,5,1120,-1,1
29,4,983,0,11,5,963,-1,1
55,4,204,0,11,5,1973,-1,1
44,0,1074,0,11,5,911,-1,1
47,9,3466,0,11,5,853,-1,1
35,0,-203,0,11,5,1649,-1,1
35,2,2436,0,14,5,1397,-1,1
38,9,976,0,14,5,766,-1,1
34,2,146,0,14,5,788,-1,1
50,9,156,0,14,5,1130,-1,1
43,0,189,0,14,5,1062,-1,1
44,0,163,0,14,5,1669,-1,1
51,7,242,0,14,5,1336,-1,1
31,9,1173,0,14,5,444,-1,1
39,9,0,0,14,5,894,-1,1
59,4,296,0,15,5,805,-1,1
25,7,333,0,15,5,1056,-1,1
58,4,3864,0,15,5,815,-1,1
30,2,2686,0,15,5,808,-1,1
34,1,-109,0,15,5,860,-1,1
51,7,65,0,15,5,881,-1,1
60,5,597,0,15,5,981,-1,1
51,2,-799,0,15,5,1001,-1,1
37,4,1775,0,15,5,514,-1,1
30,1,0,0,15,5,716,-1,1
46,2,-563,0,15,5,769,-1,1
29,8,5,0,15,5,889,-1,1
27,2,139,0,15,5,448,-1,1
28,4,0,0,16,5,767,-1,1
34,1,855,0,16,5,578,-1,1
29,1,694,0,16,5,1806,-1,1
27,4,151,0,16,5,496,-1,1
26,9,354,0,16,5,586,-1,1
36,4,673,0,16,5,689,-1,1
44,1,1265,0,16,5,555,-1,1
39,1,597,0,16,5,686,-1,1
30,9,-393,0,16,5,435,-1,1
31,10,256,0,16,5,873,-1,1
56,1,0,0,16,5,1222,-1,1
29,1,2870,0,16,5,988,-1,1
43,1,184,0,16,5,1019,-1,1
32,1,1905,0,16,5,709,-1,1
30,0,-36,0,16,5,561,-1,1
40,1,-839,0,16,5,1018,-1,1
42,7,3465,0,16,5,1039,-1,1
27,8,119,0,16,5,781,-1,1
35,4,36,0,16,5,1656,-1,1
35,3,113,0,17,5,923,-1,1
32,1,118,0,17,5,1275,-1,1
39,9,251,0,17,5,342,-1,1
31,1,-277,1,17,5,1008,-1,1
26,7,-189,0,17,5,538,-1,1
42,4,4,0,17,5,795,-1,1
27,7,1820,0,17,5,1027,-1,1
33,6,1904,0,17,5,1584,-1,1
51,1,201,0,17,5,582,-1,1
33,0,0,1,17,5,1448,-1,1
30,9,178,0,17,5,656,-1,1
52,3,3798,0,17,5,1208,-1,1
42,1,301,0,17,5,1175,-1,1
31,4,294,0,17,5,536,-1,1
27,7,0,0,17,5,991,-1,1
44,1,292,0,17,5,1153,-1,1
40,2,2998,0,18,5,623,-1,1
46,3,2084,0,18,5,1081,-1,1
32,7,454,0,18,5,978,-1,1
56,9,179,0,18,5,536,-1,1
33,1,661,0,18,5,968,-1,1
33,1,89,0,18,5,278,-1,1
32,6,102,0,18,5,560,-1,1
41,1,138,0,18,5,640,-1,1
31,0,622,0,18,5,420,-1,1
30,0,10,0,18,5,658,-1,1
34,0,-251,0,18,5,641,-1,1
43,2,104,0,18,5,635,-1,1
28,1,173,0,18,5,588,-1,1
32,0,-46,0,18,5,1373,-1,1
31,1,0,0,18,5,913,-1,1
35,2,145,0,18,5,799,-1,1
31,4,325,0,18,5,1139,-1,1
25,7,2311,0,21,5,1105,-1,1
56,5,158,0,21,5,854,-1,1
47,9,1981,0,21,5,919,-1,1
39,4,1423,1,21,5,733,-1,1
51,4,2455,0,21,5,553,-1,1
54,9,859,0,21,5,710,-1,1
58,5,9004,0,21,5,891,-1,1
42,10,970,1,21,5,691,-1,1
56,7,486,1,21,5,1877,-1,1
55,3,127,1,21,5,1130,-1,1
26,1,409,0,21,5,577,-1,1
40,0,664,0,21,5,1342,-1,1
26,9,223,0,21,5,1002,-1,1
35,4,-324,0,21,5,985,-1,1
34,7,-30,0,21,5,1360,-1,1
41,4,1253,0,21,5,1134,-1,1
44,4,4758,0,22,5,712,-1,1
33,4,30,0,22,5,1077,-1,1
36,4,81,0,22,5,560,-1,1
38,9,0,0,22,5,1545,-1,1
35,9,328,0,22,5,654,-1,1
41,9,145,0,22,5,1833,-1,1
41,4,465,0,22,5,1508,-1,1
28,1,751,0,22,5,598,-1,1
26,7,-379,0,22,5,1237,-1,1
39,1,0,0,22,5,864,-1,1
25,0,349,0,22,5,1037,-1,1
37,0,1110,1,22,5,802,-1,1
25,4,2228,0,23,5,754,-1,1
46,4,2166,0,23,5,870,-1,1
25,1,-247,0,23,5,633,-1,1
28,9,-123,0,23,5,690,-1,1
33,7,44,0,23,5,529,-1,1
32,4,131,0,23,5,1152,-1,1
32,1,476,0,23,5,956,-1,1
47,9,1101,0,23,5,957,-1,1
50,2,-168,0,23,5,1327,-1,1
27,9,-392,0,23,5,228,-1,1
45,0,524,0,23,5,808,-1,1
51,0,895,0,23,5,638,-1,1
36,0,212,0,23,5,1201,-1,1
51,6,95,0,23,5,1309,-1,1
33,7,395,0,23,5,1359,-1,1
59,9,135,0,23,5,416,-1,1
38,2,0,0,23,5,532,-1,1
40,7,471,0,24,5,430,-1,1
51,1,603,0,24,5,853,-1,1
41,2,663,0,24,5,1204,-1,1
38,2,593,0,24,5,1484,-1,1
31,4,1224,0,24,5,1441,-1,1
28,0,2,0,24,5,454,-1,1
41,1,720,0,24,5,651,-1,1
33,4,990,0,24,5,1491,-1,1
25,8,1747,0,24,5,903,-1,1
45,0,59,0,24,5,873,-1,1
31,1,33,0,24,5,901,-1,1
28,7,340,0,24,5,821,-1,1
49,9,305,0,24,5,367,-1,1
25,7,0,0,24,5,458,-1,1
28,10,497,0,24,5,1602,-1,1
54,5,1371,1,25,5,1492,-1,1
28,9,1628,0,25,5,1422,-1,1
27,9,372,0,25,5,728,-1,1
49,1,566,0,25,5,979,-1,1
53,1,343,0,25,5,616,-1,1
26,9,941,0,25,5,784,-1,1
37,7,775,0,25,5,1000,-1,1
34,1,1759,0,25,5,695,-1,1
51,5,1495,1,25,5,1946,-1,1
39,3,1444,1,25,5,362,-1,1
35,9,470,0,25,5,743,-1,1
51,10,1162,0,25,5,2015,-1,1
30,4,2,0,25,5,1031,-1,1
42,1,1628,0,25,5,590,-1,1
54,4,1134,0,25,5,1330,-1,1
51,1,0,0,25,5,946,-1,1
57,5,63,0,25,5,1448,-1,1
30,4,1221,1,25,5,279,-1,1
37,1,5024,0,25,5,661,-1,1
39,9,10685,0,25,5,1369,-1,1
35,9,1629,0,25,5,653,-1,1
48,4,268,0,28,5,458,-1,1
31,4,0,0,28,5,664,-1,1
35,6,5613,0,28,5,699,-1,1
48,3,513,0,28,5,939,-1,1
53,3,362,0,28,5,1169,-1,1
27,9,3933,0,28,5,837,-1,1
55,9,3899,1,28,5,596,-1,1
40,7,473,0,28,5,383,-1,1
40,6,1616,1,28,5,1009,-1,1
38,1,1817,0,28,5,1096,-1,1
54,5,129,0,28,5,867,-1,1
54,9,1938,0,28,5,551,-1,1
50,0,133,0,28,5,890,-1,1
48,4,2263,0,29,5,874,-1,1
41,7,1538,0,29,5,710,-1,1
51,1,5,0,29,5,600,-1,1
42,9,2625,0,29,5,2516,-1,1
58,5,1080,0,29,5,1058,-1,1
47,10,312,0,29,5,884,-1,1
58,0,145,1,29,5,616,-1,1
41,1,-190,0,29,5,808,-1,1
50,0,2678,1,30,5,1011,-1,1
46,3,271,0,30,5,1013,-1,1
44,1,0,0,30,5,684,-1,1
36,7,0,0,30,5,843,-1,1
58,4,3161,1,30,5,542,-1,1
44,10,-4,0,30,5,788,-1,1
49,2,-701,0,30,5,988,-1,1
55,4,-375,0,30,5,814,-1,1
52,10,959,1,30,5,694,-1,1
60,5,1091,0,30,5,441,-1,1
41,7,-1,0,30,5,1171,-1,1
36,4,96,0,30,5,729,-1,1
41,1,0,0,30,5,509,-1,1
50,2,230,1,30,5,1089,-1,1
44,3,-156,0,30,5,1211,-1,1
54,9,114,0,30,5,458,-1,1
35,4,-468,0,30,5,540,-1,1
59,5,679,0,30,5,761,-1,1
42,2,206,0,30,5,695,-1,1
27,4,1,0,30,5,764,-1,1
59,3,2518,0,30,5,675,-1,1
43,0,378,0,30,5,782,-1,1
39,9,391,0,30,5,962,-1,1
33,10,-144,0,30,5,481,-1,1
36,6,1240,0,31,5,812,-1,1
35,1,1792,0,31,5,630,-1,1
50,1,2284,1,31,5,1088,-1,1
55,9,264,0,31,5,1150,-1,1
51,10,0,0,31,5,574,-1,1
48,2,-392,0,31,5,725,-1,1
55,3,77,0,31,5,463,-1,1
30,7,48,0,31,5,662,-1,1
53,1,252,0,31,5,727,-1,1
40,1,1954,0,31,5,1107,-1,1
44,9,755,0,31,5,829,-1,1
49,4,755,0,31,5,1212,-1,1
40,0,341,0,31,5,1142,-1,1
58,10,1183,0,31,5,1721,-1,1
49,7,388,1,31,5,1032,-1,1
38,9,1919,0,4,1,846,-1,1
51,3,1613,0,4,1,870,-1,1
36,4,0,0,4,1,1165,-1,1
55,5,0,0,4,1,1110,-1,1
43,9,0,0,4,1,1488,-1,1
60,4,0,0,5,1,603,-1,1
57,5,466,0,5,1,641,-1,1
41,9,515,0,5,1,837,-1,1
50,9,2313,0,5,1,553,-1,1
53,1,-8,0,5,1,794,-1,1
59,5,1634,0,5,1,836,-1,1
59,3,100,0,5,1,1134,-1,1
52,11,5361,0,5,1,607,-1,1
58,4,1257,0,5,1,1536,-1,1
59,5,3400,0,5,1,515,-1,1
49,9,1377,0,5,1,935,-1,1
33,4,2885,0,5,1,1051,-1,1
55,1,512,0,5,1,1200,-1,1
42,9,921,0,5,1,531,-1,1
52,7,1000,0,5,1,766,-1,1
38,9,202,0,5,1,1311,-1,1
55,9,169,0,5,1,618,-1,1
49,9,3726,0,5,1,875,-1,1
56,9,146,0,5,1,419,-1,1
46,9,940,0,5,1,1227,-1,1
57,5,734,0,6,1,1357,-1,1
61,5,77,0,6,1,455,-1,1
45,0,925,0,6,1,406,-1,1
39,4,1836,0,6,1,902,-1,1
46,0,660,0,6,1,740,-1,1
43,4,1304,0,6,1,501,-1,1
34,7,2956,0,6,1,835,-1,1
35,4,146,0,6,1,720,-1,1
36,4,36,0,6,1,836,-1,1
45,4,1,0,6,1,490,-1,1
47,9,2480,0,6,1,763,-1,1
42,9,14282,0,6,1,649,-1,1
40,4,0,0,6,1,641,-1,1
40,9,311,0,6,1,738,-1,1
32,9,560,0,6,1,1044,-1,1
33,9,3059,0,6,1,482,-1,1
32,6,1423,0,6,1,1249,-1,1
46,1,874,0,6,1,996,-1,1
50,0,706,0,6,1,1250,-1,1
51,1,7098,0,6,1,1471,-1,1
30,4,5389,0,6,1,1456,-1,1
39,9,1104,0,7,1,395,-1,1
47,0,3070,0,7,1,663,-1,1
40,9,0,0,7,1,674,-1,1
50,1,4108,0,7,1,526,-1,1
