wip,over_time,smv,quarter,incentive,idle_men,no_of_workers,team,targeted_productivity,no_of_style_change,department,idle_time,actual_productivity
,960,3.94,1,0,0,8,7,0.8,0,2,0,0.6253125
,1560,4.15,1,0,0,8,3,0.75,0,2,0,0.991388889
,960,3.94,1,0,0,8,9,0.8,0,2,0,0.931645833
,960,3.94,1,0,0,8,1,0.8,0,2,0,0.915229167
539,6975,11.61,1,50,0,31,6,0.8,0,1,0,0.879714482
,6600,3.94,1,0,0,20,4,0.8,0,2,0,0.861679012
1278,7080,26.16,1,60,0,59,9,0.8,0,1,0,0.850569492
1227,7020,25.9,1,60,0,56.5,7,0.8,0,1,0,0.850436438
1039,6780,25.9,1,45,0,56.5,8,0.8,0,1,0,0.850345133
878,4260,28.08,1,50,0,55.5,4,0.8,0,1,0,0.800598058
1033,7080,26.16,1,63,0,59,1,0.8,0,1,0,0.800318644
782,6660,28.08,1,50,0,55.5,2,0.8,0,1,0,0.800237838
1216,6975,11.61,1,50,0,31,12,0.8,0,1,0,0.800030199
,960,3.94,1,0,0,8,2,0.8,0,2,0,0.792104167
,4320,3.94,1,0,0,18,10,0.7,0,2,0,0.759228395
513,6480,19.31,1,45,0,54,11,0.75,0,1,0,0.750348457
734,6600,19.87,1,45,0,55,3,0.75,0,1,0,0.75024303
1202,6900,28.08,1,40,0,57.5,10,0.7,0,1,0,0.699965217
,960,2.9,1,0,0,8,8,0.8,0,2,0,0.682708333
,960,2.9,1,0,0,8,7,0.8,0,2,0,0.667604167
884,6960,45.67,1,26,0,58,5,0.7,0,1,0,0.603432184
,960,4.15,1,0,0,8,11,0.75,0,2,0,0.345833333
,1920,3.94,1,0,0,8,1,0.8,0,2,0,0.961059028
,2400,3.94,1,0,0,10,11,0.8,0,2,0,0.939513889
,3840,3.94,1,0,0,16,4,0.8,0,2,0,0.893663194
,1920,4.15,1,0,0,8,3,0.75,0,2,0,0.875390625
1227,7080,26.16,1,75,0,59,9,0.8,0,1,0,0.850569492
,1920,2.9,1,0,0,8,9,0.8,0,2,0,0.820833333
,960,3.94,1,0,0,8,2,0.8,0,2,0,0.804416667
1255,6780,25.9,1,50,0,56.5,7,0.8,0,1,0,0.800684366
1047,6780,25.9,1,38,0,56.5,8,0.8,0,1,0,0.800684366
1138,7080,26.16,1,63,0,59,1,0.8,0,1,0,0.800318644
678,4800,19.31,1,50,0,55,11,0.8,0,1,0,0.800250962
712,7200,11.61,1,50,0,32,6,0.8,0,1,0,0.800246011
1037,7200,11.61,1,50,0,32,12,0.8,0,1,0,0.800246011
757,6900,28.08,1,50,0,57.5,2,0.8,0,1,0,0.800076522
759,6900,28.08,1,50,0,57.5,4,0.8,0,1,0,0.800076522
,960,2.9,1,0,0,8,10,0.75,0,2,0,0.763375
,960,2.9,1,0,0,8,5,0.6,0,2,0,0.759270833
1083,7020,28.08,1,45,0,58.5,10,0.75,0,1,0,0.7504
944,6600,19.87,1,45,0,55,3,0.75,0,1,0,0.75024303
,960,3.94,1,0,0,8,7,0.8,0,2,0,0.676666667
,960,2.9,1,0,0,8,8,0.8,0,2,0,0.664583333
666,6960,21.98,1,23,0,58,5,0.6,0,1,0,0.600028736
,4440,3.94,1,0,0,18,4,0.8,0,2,0,0.966781346
,1440,3.94,1,0,0,8,1,0.8,0,2,0,0.936496212
,1800,4.15,1,0,0,10,3,0.75,0,2,0,0.899166667
,2700,4.15,1,0,0,15,11,0.8,0,2,0,0.888686869
,1440,3.94,1,0,0,8,9,0.8,0,2,0,0.858143939
1187,10620,26.16,1,75,0,59,1,0.8,0,1,0,0.850502311
1305,10620,26.16,1,75,0,59,9,0.8,0,1,0,0.850502311
,1440,3.94,1,0,0,8,10,0.75,0,2,0,0.809640152
,1440,3.94,1,0,0,8,2,0.8,0,2,0,0.805909091
716,10350,28.08,1,50,0,57.5,2,0.8,0,1,0,0.800594466
925,10350,28.08,1,50,0,57.5,4,0.8,0,1,0,0.800594466
963,9900,19.87,1,50,0,55,3,0.8,0,1,0,0.800273829
1101,5310,11.61,1,50,0,31.5,12,0.8,0,1,0,0.800140969
1035,10170,25.9,1,38,0,56.5,7,0.8,0,1,0,0.800128721
1083,10170,25.9,1,38,0,56.5,8,0.8,0,1,0,0.800128721
910,4470,11.61,1,38,0,31.5,6,0.8,0,1,0,0.80007657
1209,10530,28.08,1,45,0,58.5,10,0.75,0,1,0,0.750545455
590,9900,19.31,1,45,0,55,11,0.75,0,1,0,0.750057851
,1440,2.9,1,0,0,8,8,0.8,0,2,0,0.681060606
808,10440,21.98,1,35,0,58,5,0.65,0,1,0,0.649983281
,1440,2.9,1,0,0,8,7,0.8,0,2,0,0.61625
,1440,3.94,1,0,0,8,1,0.8,0,2,0,0.951420455
,1440,3.94,1,0,0,8,9,0.8,0,2,0,0.880530303
1179,10620,26.16,1,75,0,59,1,0.8,0,1,0,0.850502311
1324,10620,26.16,1,75,0,59,9,0.8,0,1,0,0.850502311
1135,10170,25.9,1,60,0,56.5,8,0.8,0,1,0,0.850136766
,2700,4.15,1,0,0,15,3,0.75,0,2,0,0.83
,4440,3.94,1,0,0,18,4,0.8,0,2,0,0.827186544
,1440,3.94,1,0,0,8,2,0.8,0,2,0,0.813371212
,1440,3.94,1,0,0,8,10,0.75,0,2,0,0.805909091
,1440,2.9,1,0,0,8,7,0.8,0,2,0,0.804640152
776,10350,28.08,1,63,0,57.5,2,0.8,0,1,0,0.800594466
990,10350,28.08,1,50,0,57.5,4,0.8,0,1,0,0.800594466
986,5490,11.41,1,50,0,30.5,6,0.8,0,1,0,0.800343766
924,9900,19.87,1,50,0,55,3,0.8,0,1,0,0.800273829
1120,5670,11.61,1,50,0,31.5,12,0.8,0,1,0,0.800246753
1066,10170,25.9,1,50,0,56.5,7,0.8,0,1,0,0.800128721
1144,10530,28.08,1,69,0,58.5,10,0.75,0,1,0,0.8
413,9720,21.98,1,40,0,58,5,0.7,0,1,0,0.700480831
,1440,2.9,1,0,0,8,8,0.8,0,2,0,0.681060606
,1800,2.9,1,0,0,10,6,0.8,0,2,0,0.666515152
568,9900,31.83,1,40,0,55,11,0.8,0,1,0,0.412119835
,1440,4.15,1,0,0,8,5,0.7,0,2,0,0.330113636
,1440,3.94,2,0,0,8,1,0.8,0,2,0,0.947689394
,12600,3.94,2,0,0,20,4,0.8,0,2,0,0.919905405
1216,10620,26.16,2,88,0,59,9,0.8,0,1,0,0.900215716
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.891723485
1189,10620,26.16,2,75,0,59,1,0.8,0,1,0,0.850502311
942,10530,28.08,2,75,0,58.5,4,0.8,0,1,0,0.850181818
1050,10170,25.9,2,60,0,56.5,7,0.8,0,1,0,0.850136766
1026,10170,25.9,2,60,0,56.5,8,0.8,0,1,0,0.850136766
,1440,3.94,2,0,0,8,2,0.8,0,2,0,0.835757576
,3840,4.15,2,0,0,8,5,0.7,0,2,0,0.821354167
783,10050,28.08,2,63,0,58.5,2,0.8,0,1,0,0.800497246
857,9900,19.87,2,50,0,55,3,0.8,0,1,0,0.800273829
548,15120,11.61,2,63,0,31.5,12,0.8,0,1,0,0.800107143
411,14640,11.41,2,50,0,30.5,6,0.8,0,1,0,0.800024932
1066,10530,28.08,2,69,0,58.5,10,0.75,0,1,0,0.8
,1440,3.94,2,0,0,8,10,0.75,0,2,0,0.779791667
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.735984848
,2160,4.15,2,0,0,12,3,0.75,0,2,0,0.712626263
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.681060606
,900,4.15,2,0,0,5,11,0.8,0,2,0,0.515606061
287,25920,12.52,2,38,0,54,11,0.35,0,1,0,0.349951389
724,10260,42.41,2,0,0,57,5,0.7,0,1,0,0.233705476
,2160,3.94,2,0,0,8,1,0.8,0,2,0,0.985
,2760,4.15,2,0,0,12,3,0.75,0,2,0,0.930340376
,6000,3.94,2,0,0,20,4,0.8,0,2,0,0.911589744
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.858143939
1122,10620,26.16,2,75,0,59,9,0.8,0,1,0,0.851174114
970,10170,25.9,2,60,0,56.5,7,0.8,0,1,0,0.850136766
1158,10170,25.9,2,60,0,56.5,8,0.8,0,1,0,0.850136766
,1440,3.94,2,0,0,8,10,0.8,0,2,0,0.846950758
,1440,4.15,2,0,0,8,11,0.8,0,2,0,0.817424242
,1440,3.94,2,0,0,8,2,0.8,0,2,0,0.817102273
660,10440,28.08,2,63,0,58,4,0.8,0,1,0,0.801028213
749,10350,28.08,2,63,0,57.5,2,0.8,0,1,0,0.800594466
893,4710,11.61,2,50,0,31.5,12,0.8,0,1,0,0.800346445
887,5490,11.41,2,50,0,30.5,6,0.8,0,1,0,0.800343766
1335,10620,26.16,2,63,0,59,1,0.8,0,1,0,0.800117103
1082,10530,28.08,2,63,0,58.5,10,0.8,0,1,0,0.8
1075,7080,19.87,2,45,0,56,3,0.75,0,1,0,0.750098351
749,9540,12.52,2,38,0,53,11,0.5,0,1,0,0.673245283
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.670075758
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.628882576
966,7680,20.79,2,0,0,56,5,0.5,0,1,0,0.388007813
,1440,4.15,2,0,0,8,5,0.5,0,2,0,0.337973485
,1440,4.15,2,0,0,8,3,0.75,0,2,0,0.93532197
,3600,3.94,2,0,0,20,4,0.8,0,2,0,0.925643939
1095,10620,26.16,2,88,0,59,9,0.8,0,1,0,0.900215716
,1440,3.94,2,0,0,8,1,0.8,0,2,0,0.873068182
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.858143939
1383,10620,26.16,2,75,0,59,1,0.8,0,1,0,0.850502311
1012,10170,25.9,2,45,0,56.5,7,0.8,0,1,0,0.850136766
1209,10170,25.9,2,60,0,56.5,8,0.8,0,1,0,0.850136766
,1440,3.94,2,0,0,8,10,0.8,0,2,0,0.828295455
,1440,3.94,2,0,0,8,2,0.8,0,2,0,0.820833333
887,5490,11.41,2,50,0,30.5,6,0.8,0,1,0,0.800343766
896,5670,11.61,2,50,0,31.5,12,0.8,0,1,0,0.800246753
805,10530,28.08,2,63,0,58.5,2,0.8,0,1,0,0.8
762,10530,28.08,2,38,0,58.5,10,0.8,0,1,0,0.8
1043,6420,19.87,2,0,0,55,3,0.8,0,1,0,0.690182815
,1440,4.15,2,0,0,8,11,0.8,0,2,0,0.668087121
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.653598485
,1440,4.15,2,0,0,8,5,0.5,0,2,0,0.609138258
831,9540,12.52,2,30,0,53,11,0.6,0,1,0,0.600229846
,1440,2.9,2,0,0,8,6,0.8,0,2,0,0.597348485
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.590435606
562,10440,50.48,2,0,0,58,4,0.8,0,1,0,0.473134796
1208,7980,20.79,2,0,0,57,5,0.6,0,1,0,0.452979626
,1440,3.94,2,0,0,8,1,0.8,0,2,0,0.955151515
,3240,4.3,2,0,0,18,4,0.35,0,2,0,0.942213805
,1800,4.15,2,0,0,10,3,0.8,0,2,0,0.905454545
,1440,3.94,2,0,0,8,2,0.8,0,2,0,0.880530303
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.858143939
1099,8220,26.16,2,75,0,59,1,0.8,0,1,0,0.850522167
1093,10620,26.16,2,75,0,59,9,0.8,0,1,0,0.850502311
1031,10170,25.9,2,60,0,56.5,7,0.8,0,1,0,0.850136766
1233,10170,25.9,2,60,0,56.5,8,0.8,0,1,0,0.850136766
,1440,2.9,2,0,0,8,6,0.8,0,2,0,0.817424242
,1440,4.15,2,0,0,8,5,0.65,0,2,0,0.809564394
941,9900,19.87,2,0,0,55,3,0.8,0,1,0,0.800273829
843,5670,11.41,2,50,0,31.5,6,0.8,0,1,0,0.800181818
760,4470,11.61,2,50,0,31.5,12,0.8,0,1,0,0.80007657
737,10530,28.08,2,63,0,58.5,2,0.8,0,1,0,0.8
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.725
381,6930,50.48,2,45,0,58.5,10,0.8,0,1,0,0.688557555
1141,8460,20.79,2,0,0,59,5,0.65,0,1,0,0.650040783
1004,9540,12.52,2,44,0,53,11,0.65,0,1,0,0.64998056
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.648106061
,1440,4.15,2,0,0,8,11,0.8,0,2,0,0.640577652
581,7350,22.4,2,0,0,51.5,4,0.35,0,1,0,0.35063299
,1440,3.94,2,0,0,8,10,0.8,0,2,0,0.24625
,2160,4.3,2,0,0,12,4,0.35,0,2,0,0.952020202
,1440,3.94,2,0,0,2,1,0.8,0,2,0,0.951420455
,5400,3.94,2,0,0,20,10,0.8,0,2,0,0.912766667
,1620,4.15,2,0,0,9,3,0.8,0,2,0,0.901262626
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.858143939
1073,10620,26.16,2,75,0,59,1,0.8,0,1,0,0.850502311
1156,10620,26.16,2,75,0,59,9,0.8,0,1,0,0.850502311
1211,10260,25.9,2,60,0,57,8,0.8,0,1,0,0.850252525
1126,10170,25.9,2,60,0,56.5,7,0.8,0,1,0,0.850136766
,1440,4.15,2,0,0,8,5,0.65,0,2,0,0.821354167
,1440,3.94,2,0,0,8,2,0.8,0,2,0,0.805909091
1004,5670,11.61,2,50,0,31.5,6,0.8,0,1,0,0.800246753
1063,5670,11.61,2,50,0,31.5,12,0.8,0,1,0,0.800246753
723,10530,28.08,2,50,0,58.5,2,0.8,0,1,0,0.8
465,9900,42.27,2,54,0,55,3,0.8,0,1,0,0.705576584
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.681060606
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.670075758
,1440,4.15,2,0,0,8,11,0.8,0,2,0,0.601278409
530,9540,27.13,2,37,0,53,11,0.7,0,1,0,0.582301029
1297,10440,20.79,2,0,0,58,5,0.7,0,1,0,0.526810345
783,10170,22.4,2,23,0,56.5,4,0.5,0,1,0,0.500380799
715,10170,22.4,2,23,0,56.5,10,0.35,0,1,0,0.35020649
,1980,4.15,2,0,0,7,11,0.8,0,2,0,0.934607438
,2700,4.3,2,0,0,8,4,0.35,0,2,0,0.908080808
1150,10170,25.9,2,70,0,56.5,7,0.8,0,1,0,0.900144811
,1440,3.94,2,0,0,8,1,0.8,0,2,0,0.891723485
,1440,4.15,2,0,0,15,5,0.65,0,2,0,0.864583333
,1440,3.94,2,0,0,8,9,0.8,0,2,0,0.858143939
1232,10620,26.16,2,75,0,59,9,0.8,0,1,0,0.850502311
1218,10170,25.9,2,60,0,56.5,8,0.8,0,1,0,0.850136766
,1440,2.9,2,0,0,8,7,0.8,0,2,0,0.837594697
,1440,4.15,2,0,0,7,3,0.8,0,2,0,0.820833333
1159,2970,11.61,2,50,0,31.5,12,0.8,0,1,0,0.800313433
972,5670,11.61,2,38,0,31.5,6,0.8,0,1,0,0.800246753
1092,10620,26.16,2,63,0,59,1,0.8,0,1,0,0.800117103
965,7320,20.79,2,0,0,58,5,0.7,0,1,0,0.700095563
,1440,2.9,2,0,0,8,8,0.8,0,2,0,0.667329545
816,5100,22.4,2,23,0,57,4,0.6,0,1,0,0.600369686
947,3390,22.4,2,23,0,56.5,10,0.5,0,1,0,0.499980334
838,7200,14.61,2,23,0,55,11,0.35,0,1,0,0.35003125
,1260,3.94,2,0,0,8,10,0.8,0,2,0,0.332359307
1086,4260,51.02,2,27,0,57,2,0.8,0,1,0,0.311207464
,1260,3.94,2,0,0,8,2,0.8,0,2,0,0.247316017
,3600,4.3,3,0,0,20,4,0.35,0,2,0,0.988636364
,3420,3.94,3,0,0,19,10,0.8,0,2,0,0.953110048
,1440,3.94,3,0,0,8,1,0.8,0,2,0,0.884261364
,1440,4.15,3,0,0,8,5,0.65,0,2,0,0.860653409
,1440,3.94,3,0,0,8,9,0.8,0,2,0,0.858143939
1160,10620,26.16,3,75,0,59,1,0.8,0,1,0,0.850502311
1177,8970,25.9,3,60,0,56.5,8,0.8,0,1,0,0.850415628
1281,10170,25.9,3,60,0,56.5,7,0.8,0,1,0,0.850136766
1369,10620,26.16,3,63,0,59,9,0.8,0,1,0,0.800117103
1084,4950,11.61,3,38,0,31.5,6,0.8,0,1,0,0.80003139
1216,4950,11.61,3,50,0,31.5,12,0.8,0,1,0,0.80003139
391,10440,20.79,3,0,0,58,5,0.7,0,1,0,0.700060345
,1440,2.9,3,0,0,8,7,0.8,0,2,0,0.689299242
1102,10170,22.52,3,30,0,56.5,3,0.5,0,1,0,0.660683293
872,10080,22.52,3,26,0,56,4,0.65,0,1,0,0.650130952
,1440,2.9,3,0,0,8,8,0.8,0,2,0,0.606912879
1076,10170,22.52,3,23,0,56.5,10,0.6,0,1,0,0.600291767
917,9900,14.89,3,30,0,55,11,0.5,0,1,0,0.500025069
1044,9810,22.94,3,23,0,54.5,2,0.5,0,1,0,0.499998888
,2700,4.15,3,0,0,15,5,0.65,0,2,0,0.98719697
,1800,3.94,3,0,0,10,2,0.8,0,2,0,0.980909091
,1440,3.94,3,0,0,8,10,0.8,0,2,0,0.974621212
,1440,3.94,3,0,0,8,1,0.8,0,2,0,0.884261364
,1800,3.94,3,0,0,10,9,0.8,0,2,0,0.82680303
1067,5490,11.41,3,63,0,30.5,6,0.8,0,1,0,0.800343766
1039,5670,11.61,3,63,0,31.5,12,0.8,0,1,0,0.800246753
1396,10170,25.9,3,50,0,56.5,7,0.8,0,1,0,0.800128721
1292,10170,25.9,3,50,0,56.5,8,0.8,0,1,0,0.800128721
171,10620,48.68,3,63,0,59,1,0.8,0,1,0,0.800117103
1128,10620,26.16,3,63,0,59,9,0.8,0,1,0,0.800117103
865,6570,22.94,3,23,0,56.5,2,0.6,0,1,0,0.77011398
825,10170,22.52,3,50,0,56.5,4,0.7,0,1,0,0.7005417
,1440,2.9,3,0,0,8,8,0.8,0,2,0,0.675568182
,1440,2.9,3,0,0,8,7,0.8,0,2,0,0.661837121
1163,9720,22.52,3,35,0,54,10,0.65,0,1,0,0.650198653
1140,10170,22.52,3,30,0,56.5,3,0.6,0,1,0,0.600291767
1027,10080,14.89,3,38,0,56,11,0.6,0,1,0,0.600273268
,900,2.9,3,0,0,5,6,0.8,0,2,0,0.465757576
1052,10440,41.19,3,21,0,58,5,0.7,0,1,0,0.452012539
,1260,4.15,3,0,0,7,11,0.8,0,2,0,0.313852814
,1440,4.15,3,0,0,8,5,0.6,0,2,0,0.852793561
,2160,4.15,3,0,0,12,11,0.65,0,2,0,0.838383838
,1800,2.9,3,0,0,10,6,0.8,0,2,0,0.804848485
1140,5490,11.41,3,63,0,30.5,6,0.8,0,1,0,0.800343766
624,10170,48.84,3,50,0,56.5,7,0.8,0,1,0,0.800128721
1288,10170,25.9,3,38,0,56.5,8,0.8,0,1,0,0.800128721
1381,3660,26.16,3,50,0,59,9,0.8,0,1,0,0.800015009
882,10170,22.52,3,50,0,56.5,4,0.7,0,1,0,0.7005417
1002,10080,22.52,3,40,0,56,10,0.7,0,1,0,0.700094156
,1440,2.9,3,0,0,8,7,0.8,0,2,0,0.692045455
585,5670,26.87,3,56,0,31.5,12,0.8,0,1,0,0.662255892
1138,10170,22.52,3,35,0,56.5,3,0.65,0,1,0,0.650416734
1140,10260,14.89,3,44,0,57,11,0.65,0,1,0,0.650299575
1025,10170,22.94,3,26,0,56.5,2,0.65,0,1,0,0.650243497
,1440,2.9,3,0,0,8,8,0.8,0,2,0,0.639867424
1031,10440,20.4,3,30,0,58,5,0.6,0,1,0,0.600062696
,1800,3.94,3,0,0,10,9,0.8,0,2,0,0.582045455
1381,10350,49.1,3,24,0,57.5,1,0.8,0,1,0,0.403242161
,1440,3.94,3,0,0,8,10,0.7,0,2,0,0.235795455
,5040,4.3,3,0,0,28,4,0.7,0,2,0,0.977272727
,1800,3.94,3,0,0,10,9,0.8,0,2,0,0.964106061
,1440,4.15,3,0,0,8,5,0.65,0,2,0,0.958901515
1028,4380,11.41,3,50,0,31,6,0.8,0,1,0,0.800358775
1380,3630,25.9,3,50,0,56.5,8,0.8,0,1,0,0.800162602
1196,10620,26.16,3,63,0,59,9,0.8,0,1,0,0.800117103
,1440,2.9,3,0,0,8,12,0.8,0,2,0,0.793844697
1006,10170,22.94,3,38,0,56.5,2,0.7,0,1,0,0.750517565
930,10260,22.52,3,63,0,57,4,0.7,0,1,0,0.750068049
1095,10170,22.52,3,50,0,56.5,3,0.7,0,1,0,0.750062751
938,10080,22.52,3,63,0,56,10,0.7,0,1,0,0.750057359
1484,10260,14.89,3,50,0,57,11,0.7,0,1,0,0.700170388
,1440,2.9,3,0,0,8,8,0.8,0,2,0,0.683806818
1255,8280,20.4,3,35,0,58,5,0.65,0,1,0,0.650066445
1040,10260,48.84,3,30,0,57,7,0.8,0,1,0,0.576460393
1492,10170,22.94,3,30,0,56.5,1,0.5,0,1,0,0.549969429
,1440,3.94,3,0,0,8,10,0.7,0,2,0,0.538399621
,1440,4.15,3,0,0,8,11,0.7,0,2,0,0.409545455
1111,6120,15.26,3,23,0,34,12,0.35,0,1,0,0.35021836
,1440,4.15,3,0,0,8,5,0.7,0,2,0,1.033570076
1047,5580,11.41,3,63,0,31,6,0.8,0,1,0,0.800261486
1434,10170,25.9,3,50,0,56.5,8,0.8,0,1,0,0.800128721
399,10620,26.16,3,63,0,59,9,0.8,0,1,0,0.800117103
983,10260,22.52,3,63,0,57,4,0.7,0,1,0,0.750068049
1108,10080,22.52,3,63,0,56,10,0.7,0,1,0,0.750057359
1134,8460,22.52,3,50,0,57,3,0.7,0,1,0,0.750037968
1363,10260,22.94,3,50,0,57,2,0.7,0,1,0,0.750031898
,1800,3.94,3,0,0,10,9,0.8,0,2,0,0.72830303
1501,10260,14.89,3,50,0,57,11,0.7,0,1,0,0.700170388
1352,10260,20.4,3,50,0,57,5,0.7,0,1,0,0.700063796
,1440,2.9,3,0,0,8,8,0.8,0,2,0,0.639867424
1352,3720,15.26,3,23,0,34,12,0.5,0,1,0,0.500290419
1450,10080,22.94,3,30,0,56,7,0.35,0,1,0,0.400332792
,2700,4.15,3,0,0,15,11,0.7,0,2,0,0.362666667
,6000,4.3,3,0,0,20,4,0.75,0,2,0,0.978525641
,5100,3.94,3,0,0,17,2,0.7,0,2,0,0.912202112
825,10080,22.52,3,94,0,56,4,0.75,0,1,0,0.900556277
916,5760,11.61,3,75,0,89,6,0.8,0,1,0,0.850410511
,2400,3.94,3,0,0,8,9,0.8,0,2,0,0.827147436
562,7470,25.9,3,38,0,56.5,8,0.8,0,1,0,0.800436542
1422,10500,22.94,3,60,0,57,2,0.7,0,1,0,0.800415742
1206,10080,22.52,3,75,0,56,10,0.7,0,1,0,0.800020563
,2400,4.15,3,0,0,8,5,0.7,0,2,0,0.758173077
1404,10440,20.4,3,50,0,58,5,0.7,0,1,0,0.750344828
1139,10260,22.52,3,63,0,57,3,0.7,0,1,0,0.750068049
1735,10260,14.89,3,50,0,57,11,0.7,0,1,0,0.700170388
1595,10260,22.94,3,34,0,57,1,0.65,0,1,0,0.700029771
1245,6360,15.26,3,23,0,34,12,0.6,0,1,0,0.60017284
,2400,2.9,3,0,0,8,8,0.8,0,2,0,0.594871795
757,4140,54.56,3,29,0,58,9,0.8,0,1,0,0.520237649
,2400,3.94,3,0,0,8,1,0.65,0,2,0,0.505128205
1720,10080,22.52,3,23,0,56,7,0.5,0,1,0,0.500241342
,2700,4.15,3,0,0,9,11,0.7,0,2,0,0.470769231
,6000,3.94,4,0,0,10,7,0.6,0,2,0,0.957638889
,8400,3.94,4,0,0,14,10,0.75,0,2,0,0.940701058
759,10080,22.52,4,81,0,56,4,0.75,0,1,0,0.849983766
1510,10620,22.94,4,60,0,57,2,0.7,0,1,0,0.800302791
955,6360,11.61,4,63,0,32,6,0.8,0,1,0,0.800191989
1328,10080,22.52,4,55,0,56,10,0.75,0,1,0,0.800020563
1384,12180,22.94,4,63,0,57,1,0.7,0,1,0,0.750162367
1244,10260,22.52,4,63,0,57,3,0.7,0,1,0,0.750068049
,9000,4.15,4,0,0,15,5,0.7,0,2,0,0.742901235
1480,10440,20.4,4,40,0,58,5,0.7,0,1,0,0.700250784
1863,10260,14.89,4,50,0,57,11,0.7,0,1,0,0.700170388
,9000,4.3,4,0,0,15,4,0.75,0,2,0,0.670216049
,15000,3.94,4,0,0,25,1,0.7,0,2,0,0.649662222
,15000,3.94,4,0,0,25,2,0.7,0,2,0,0.649662222
,4800,2.9,4,0,0,8,6,0.8,0,2,0,0.626822917
1492,6960,15.26,4,23,0,34,12,0.6,0,1,0,0.600436426
1859,10260,22.52,4,23,0,57,7,0.6,0,1,0,0.60041361
980,10770,40.99,4,30,0,56.5,8,0.8,0,1,0,0.555500132
970,10440,29.12,4,30,0,58,9,0.5,0,1,0,0.500547544
,12000,3.94,4,0,0,20,3,0.7,0,2,0,0.460578704
,4800,2.9,4,0,0,8,8,0.8,0,2,0,0.397743056
,5400,4.08,4,0,0,9,12,0.6,0,2,0,0.327407407
