targeted_productivity,smv,over_time,incentive,no_of_workers,actual_productivity
0.7,3.94,1440,0,8,0.538399621
0.7,4.15,1440,0,8,0.409545455
0.35,15.26,6120,23,34,0.35021836
0.7,4.15,1440,0,8,1.033570076
0.8,11.41,5580,63,31,0.800261486
0.8,25.9,10170,50,56.5,0.800128721
0.8,26.16,10620,63,59,0.800117103
0.7,22.52,10260,63,57,0.750068049
0.7,22.52,10080,63,56,0.750057359
0.7,22.52,8460,50,57,0.750037968
0.7,22.94,10260,50,57,0.750031898
0.8,3.94,1800,0,10,0.72830303
0.7,14.89,10260,50,57,0.700170388
0.7,20.4,10260,50,57,0.700063796
0.8,2.9,1440,0,8,0.639867424
0.5,15.26,3720,23,34,0.500290419
0.35,22.94,10080,30,56,0.400332792
0.7,4.15,2700,0,15,0.362666667
0.75,4.3,6000,0,20,0.978525641
0.7,3.94,5100,0,17,0.912202112
0.75,22.52,10080,94,56,0.900556277
0.8,11.61,5760,75,89,0.850410511
0.8,3.94,2400,0,8,0.827147436
0.8,25.9,7470,38,56.5,0.800436542
0.7,22.94,10500,60,57,0.800415742
0.7,22.52,10080,75,56,0.800020563
0.7,4.15,2400,0,8,0.758173077
0.7,20.4,10440,50,58,0.750344828
0.7,22.52,10260,63,57,0.750068049
0.7,14.89,10260,50,57,0.700170388
0.65,22.94,10260,34,57,0.700029771
0.6,15.26,6360,23,34,0.60017284
0.8,2.9,2400,0,8,0.594871795
0.8,54.56,4140,29,58,0.520237649
0.65,3.94,2400,0,8,0.505128205
0.5,22.52,10080,23,56,0.500241342
0.7,4.15,2700,0,9,0.470769231
0.6,3.94,6000,0,10,0.957638889
0.75,3.94,8400,0,14,0.940701058
0.75,22.52,10080,81,56,0.849983766
0.7,22.94,10620,60,57,0.800302791
0.8,11.61,6360,63,32,0.800191989
0.75,22.52,10080,55,56,0.800020563
0.7,22.94,12180,63,57,0.750162367
0.7,22.52,10260,63,57,0.750068049
0.7,4.15,9000,0,15,0.742901235
0.7,20.4,10440,40,58,0.700250784
0.7,14.89,10260,50,57,0.700170388
0.75,4.3,9000,0,15,0.670216049
0.7,3.94,15000,0,25,0.649662222
0.7,3.94,15000,0,25,0.649662222
0.8,2.9,4800,0,8,0.626822917
0.6,15.26,6960,23,34,0.600436426
0.6,22.52,10260,23,57,0.60041361
0.8,40.99,10770,30,56.5,0.555500132
0.5,29.12,10440,30,58,0.500547544
0.7,3.94,12000,0,20,0.460578704
0.8,2.9,4800,0,8,0.397743056
0.6,4.08,5400,0,9,0.327407407
0.7,4.15,2700,0,15,0.966666667
0.75,3.94,1800,0,10,0.937242424
0.8,2.9,1620,0,9,0.910521886
0.75,22.94,10260,94,57,0.90064806
0.75,22.52,10260,94,57,0.900321106
0.75,4.15,1800,0,10,0.896022727
0.75,3.94,1440,0,8,0.895454545
0.65,3.94,2160,0,12,0.870580808
0.7,4.08,1620,0,9,0.858585859
0.7,22.94,10260,75,57,0.800643806
0.75,22.52,10080,69,56,0.80062987
0.8,11.61,5640,63,32,0.800537143
0.75,22.52,10260,69,57,0.80035194
0.75,15.26,6120,40,34,0.750079323
0.75,42.97,10260,56,57,0.750041201
0.7,20.4,10440,50,58,0.700250784
0.75,4.3,2160,0,12,0.651515152
0.65,22.52,10170,26,56.5,0.650416734
0.6,29.12,6660,23,58,0.600125217
0.75,3.94,1440,0,8,0.578314394
0.7,3.94,1440,0,8,0.578314394
0.35,15.09,9360,23,52,0.34998951
0.6,3.94,1440,0,8,0.261174242
0.7,4.15,3060,0,17,0.973796791
0.75,3.94,1440,0,8,0.970075758
0.7,3.94,1440,0,8,0.970075758
0.75,3.94,1620,0,9,0.961784512
0.75,3.94,3420,0,19,0.955151515
0.75,4.3,2160,0,12,0.952020202
0.75,22.52,10260,94,57,0.900321106
0.75,22.94,10530,81,58.5,0.850223776
0.7,22.94,10530,75,58.5,0.800909609
0.75,22.52,10350,55,57.5,0.800513307
0.8,11.61,5760,63,32,0.800386364
0.75,22.52,10080,69,56,0.800020563
0.65,3.94,2520,0,14,0.749188312
0.7,22.52,10170,40,56.5,0.7005417
0.7,15.26,6120,40,34,0.70043672
0.7,20.4,10440,50,58,0.700250784
0.65,29.12,10440,26,58,0.650407524
0.7,4.08,1620,0,9,0.618181818
0.75,42.97,10260,40,57,0.59114168
0.5,15.09,720,23,52,0.500061916
0.8,2.9,720,0,4,0.329545455
0.75,3.94,1800,0,10,1.059621212
0.75,3.94,3780,0,21,0.997792208
0.75,4.3,2160,0,12,0.963699495
0.7,4.15,2700,0,15,0.959191919
0.75,3.94,1800,0,10,0.910378788
0.7,3.94,1800,0,10,0.910378788
0.8,22.52,10170,60,56.5,0.850312684
0.8,11.61,5760,50,32,0.800386364
0.75,22.52,10260,69,57,0.80035194
0.75,22.94,10260,55,57,0.800034024
0.7,22.94,10440,60,58,0.800023511
0.75,22.52,10080,55,56,0.800020563
0.7,4.08,1620,0,9,0.769292929
0.75,20.4,10320,56,58,0.750031447
0.7,29.12,10440,40,58,0.70061442
0.7,15.26,6120,40,34,0.70043672
0.65,3.94,1440,0,8,0.646306818
0.6,15.09,360,23,52,0.600143365
0.35,28.08,10260,23,57,0.350066986
0.75,22.52,6840,119,57,1.000230409
0.75,22.52,6840,119,57,1.000230409
0.8,3.94,1440,0,12,0.979527778
0.8,4.3,1440,0,12,0.940625
0.5,4.15,1440,0,12,0.926388889
0.8,22.52,6720,70,56,0.900129762
0.75,3.94,1440,0,12,0.861875
0.8,22.52,6780,60,56.5,0.850312684
0.65,3.94,960,0,8,0.845458333
0.7,4.15,1080,0,9,0.823555556
0.5,4.15,960,0,8,0.803541667
0.75,22.94,6960,55,58,0.800263218
0.75,3.94,1200,0,10,0.788
0.75,3.94,1200,0,10,0.77815
0.7,29.12,6960,50,58,0.700386207
0.7,15.26,4080,40,34,0.700164706
0.65,15.09,240,23,52,0.650307143
0.8,30.4,3840,34,32,0.622828125
0.8,2.9,960,0,8,0.6225
0.5,20.79,6960,30,58,0.500035345
0.5,48.18,6480,23,54,0.37046657
0.8,22.52,6840,90,57,1.000230409
0.8,22.52,6840,113,57,1.000230409
0.35,2.9,1800,0,15,0.977555556
0.75,3.94,1200,0,10,0.9456
0.8,3.94,1800,0,15,0.902222222
0.8,22.52,6720,60,56,0.850532143
0.75,22.94,6960,81,58,0.850362069
0.8,3.94,1200,0,10,0.840533333
0.6,20.79,6960,88,58,0.800534483
0.8,22.52,6780,50,56.5,0.800489676
0.75,4.08,1080,0,9,0.755555556
0.7,29.12,6960,63,58,0.750593103
0.75,15.26,3600,45,35,0.750283333
0.8,4.3,1440,0,12,0.722638889
0.65,4.15,960,0,8,0.553333333
0.5,20.1,5880,46,54,0.500567308
0.7,38.09,6240,0,52,0.467693269
0.35,18.79,1800,23,32,0.437995338
0.6,3.94,960,0,8,0.406354167
0.6,23.54,6600,0,55,0.285333333
0.5,2.9,960,0,8,0.259375
0.8,22.52,6840,113,57,1.000230409
0.8,4.3,1200,0,10,0.989
0.8,22.52,6840,100,57,0.950185965
0.8,22.52,6900,88,57.5,0.9008
0.8,22.52,6720,88,56,0.900129762
0.5,2.9,1200,0,10,0.899
0.65,4.15,960,0,8,0.877552083
0.6,2.9,960,0,8,0.864583333
0.8,3.94,1200,0,10,0.85695
0.75,3.94,1200,0,10,0.853666667
0.75,22.94,6960,81,58,0.850362069
0.7,29.12,6960,53,58,0.850170115
0.65,20.79,7080,81,59,0.800473729
0.8,3.94,1200,0,10,0.773333333
0.75,15.26,4200,45,35,0.750646667
0.75,4.08,1080,0,9,0.634666667
0.6,20.1,4320,46,51,0.60059761
0.5,18.79,3960,23,33,0.500117677
0.8,3.94,960,0,8,0.4925
0.65,23.54,6600,0,55,0.48792
0.8,22.52,6960,113,58,1.000457471
0.8,22.52,6840,113,57,1.000230409
0.8,3.94,1200,0,10,0.971866667
0.8,3.94,960,0,8,0.971866667
0.8,3.94,1200,0,10,0.971866667
0.8,3.94,1200,0,10,0.971866667
0.75,3.94,1800,0,15,0.971866667
0.75,3.94,240,0,2,0.971866667
0.75,4.08,1080,0,9,0.971866667
0.7,3.94,240,0,2,0.971866667
0.7,3.94,1200,0,10,0.971866667
0.65,3.94,960,0,8,0.971866667
0.65,3.94,600,0,5,0.971866667
0.6,3.94,1200,0,10,0.971866667
0.8,22.52,6720,93,56,0.920236905
0.8,22.52,6660,88,57.5,0.900537069
0.75,29.12,6840,81,57,0.850610526
0.75,22.94,6960,81,58,0.850362069
0.75,15.26,4200,45,35,0.750646667
0.7,50.89,5880,56,59,0.656763743
0.65,20.1,6480,49,54,0.650148148
0.6,18.79,3960,23,33,0.600710606
0.7,23.54,6720,0,56,0.388830357
0.5,23.54,6480,0,54,0.286984568
0.65,4.15,960,0,8,1.0115625
0.8,22.52,6900,113,57.5,1.000671304
0.8,22.94,3060,113,58.5,1.000402055
0.75,3.94,2280,0,19,0.950438596
0.8,22.52,6840,100,57,0.950185965
0.8,3.94,1200,0,10,0.912766667
0.7,3.94,2160,0,18,0.892194444
0.8,3.94,1200,0,10,0.8865
0.8,22.52,6720,75,56,0.850532143
0.8,22.52,7020,60,58.5,0.85011396
0.8,4.3,1440,0,12,0.845069444
0.75,29.12,6960,45,58,0.750593103
0.75,15.26,1440,45,35,0.750450658
0.75,4.08,1080,0,9,0.702666667
0.7,20.1,6120,75,54,0.700508929
0.65,18.79,3960,26,33,0.651007071
0.6,24.26,6600,0,55,0.466821212
0.7,24.26,6720,0,56,0.411553571
0.6,2.9,1200,0,10,0.314166667
0.8,22.94,7020,113,58.5,1.000602279
0.75,3.94,960,0,8,0.994270833
0.8,22.52,7020,88,58.5,0.900158405
0.8,22.52,6840,70,57,0.90014152
0.8,22.52,6720,88,56,0.900129762
0.8,3.94,1200,0,10,0.85695
0.8,4.3,1440,0,12,0.809236111
0.8,15.26,3600,63,35,0.800401961
0.8,22.52,5940,50,56.5,0.800393224
0.75,29.12,6960,55,58,0.799963218
0.75,4.08,1080,0,9,0.740444444
0.7,20.55,6480,60,54,0.700398148
0.7,18.79,3960,30,33,0.700354545
0.65,4.15,960,0,8,0.561979167
0.75,3.94,2280,0,19,0.504596491
0.5,30.1,6960,0,58,0.500801724
0.7,24.26,6720,0,56,0.295307738
0.6,2.9,1200,0,10,0.280333333
0.65,24.26,6600,0,55,0.260978788
0.8,3.94,2400,0,20,1.001416667
0.8,22.52,6900,113,57.5,1.000018551
0.8,22.52,6720,90,56,0.999995238
0.8,3.94,1200,0,10,0.99485
0.7,4.15,960,0,8,0.976979167
0.8,22.52,6840,100,57,0.950185965
0.8,22.52,6960,100,58,0.949981609
0.75,3.94,1320,0,11,0.919954545
0.8,22.52,5460,63,56.5,0.800434622
0.8,15.26,2040,50,35,0.800259023
0.8,4.08,1080,0,9,0.778222222
0.75,29.12,6960,34,58,0.750593103
0.7,25.31,5760,60,54,0.700513566
0.7,18.79,4020,30,33.5,0.700184577
0.7,24.26,6660,0,55.5,0.586465465
0.7,24.26,6720,0,56,0.541517857
0.8,4.3,1440,0,12,0.5375
0.7,2.9,960,0,8,0.495416667
0.6,30.1,6960,0,58,0.415172414
0.8,22.52,6900,100,57.5,1.05028058
0.8,22.52,6840,113,57,1.000230409
0.8,22.52,6720,113,56,0.999995238
0.8,3.94,2160,0,18,0.966759259
0.8,3.94,1200,0,10,0.929183333
0.7,4.15,3000,0,25,0.915766667
0.8,22.52,6900,88,57.5,0.900147246
0.8,15.26,4080,38,34,0.800401961
0.8,22.52,6960,50,58,0.799963218
0.7,3.94,960,0,8,0.779791667
0.75,3.94,960,0,8,0.755166667
0.7,18.79,3360,30,33,0.700710417
0.7,24.26,6960,0,58,0.700612069
0.7,10.05,6120,60,53,0.700278846
0.7,29.12,6840,0,57,0.700135088
0.8,4.08,1080,0,9,0.687555556
0.65,30.1,5820,0,58.5,0.650834808
0.7,2.9,960,0,8,0.531666667
0.35,30.1,6060,23,55.5,0.350706422
0.8,22.52,6780,113,56.5,1.000446018
0.8,22.52,6900,113,57.5,1.000018551
0.8,22.52,6720,113,56,0.999995238
0.8,3.94,2640,0,22,0.999924242
0.8,22.52,6840,100,57,0.950185965
0.7,2.9,960,0,8,0.9425
0.8,4.08,1080,0,9,0.906666667
0.7,3.94,1200,0,10,0.8471
0.8,3.94,1440,0,12,0.845458333
0.8,15.26,720,38,34,0.800612676
0.8,29.12,6960,50,58,0.799963218
0.8,3.94,960,0,8,0.771583333
0.75,10.05,2520,34,26,0.7504
0.7,18.79,2760,30,33,0.700079032
0.7,30.1,6960,0,58,0.562212644
0.07,24.26,6960,0,58,0.522844828
0.5,30.1,6360,23,53,0.500720126
0.7,24.26,6840,0,57,0.496549708
0.8,3.94,3000,0,25,1.050666667
0.8,22.52,6900,113,58,1.000018551
0.8,22.52,6840,100,57,0.950185965
0.8,22.52,6780,88,57,0.900135693
0.8,22.52,6720,88,56,0.900129762
0.8,4.08,1080,0,9,0.899111111
0.8,3.94,1200,0,10,0.870083333
0.75,2.9,960,0,8,0.845833333
0.8,15.26,4080,63,34,0.800401961
0.8,29.12,6960,50,58,0.799963218
0.8,3.94,960,0,8,0.771583333
0.75,18.79,1560,34,33,0.750520115
0.75,10.05,3240,45,27,0.750027778
0.7,3.94,1200,0,10,0.715766667
0.7,24.26,6960,0,58,0.662270115
0.6,30.1,6780,30,57,0.600224189
0.7,30.1,7500,0,59,0.545657673
0.8,4.3,960,0,8,0.447916667
0.7,24.26,6840,0,57,0.365318713
0.8,22.52,6900,113,57.5,1.000018551
