wip,over_time,incentive,idle_time,idle_men,actual_productivity
,2400,0,0,0,0.758173077
1404,10440,50,0,0,0.750344828
1139,10260,63,0,0,0.750068049
1735,10260,50,0,0,0.700170388
1595,10260,34,0,0,0.700029771
1245,6360,23,0,0,0.60017284
,2400,0,0,0,0.594871795
757,4140,29,0,0,0.520237649
,2400,0,0,0,0.505128205
1720,10080,23,0,0,0.500241342
,2700,0,0,0,0.470769231
,6000,0,0,0,0.957638889
,8400,0,0,0,0.940701058
759,10080,81,0,0,0.849983766
1510,10620,60,0,0,0.800302791
955,6360,63,0,0,0.800191989
1328,10080,55,0,0,0.800020563
1384,12180,63,0,0,0.750162367
1244,10260,63,0,0,0.750068049
,9000,0,0,0,0.742901235
1480,10440,40,0,0,0.700250784
1863,10260,50,0,0,0.700170388
,9000,0,0,0,0.670216049
,15000,0,0,0,0.649662222
,15000,0,0,0,0.649662222
,4800,0,0,0,0.626822917
1492,6960,23,0,0,0.600436426
1859,10260,23,0,0,0.60041361
980,10770,30,0,0,0.555500132
970,10440,30,0,0,0.500547544
,12000,0,0,0,0.460578704
,4800,0,0,0,0.397743056
,5400,0,0,0,0.327407407
,2700,0,0,0,0.966666667
,1800,0,0,0,0.937242424
,1620,0,0,0,0.910521886
1606,10260,94,0,0,0.90064806
727,10260,94,0,0,0.900321106
,1800,0,0,0,0.896022727
,1440,0,0,0,0.895454545
,2160,0,0,0,0.870580808
,1620,0,0,0,0.858585859
1472,10260,75,0,0,0.800643806
1332,10080,69,0,0,0.80062987
1009,5640,63,0,0,0.800537143
1266,10260,69,0,0,0.80035194
1316,6120,40,0,0,0.750079323
1282,10260,56,0,0,0.750041201
1382,10440,50,0,0,0.700250784
,2160,0,0,0,0.651515152
1295,10170,26,0,0,0.650416734
925,6660,23,0,0,0.600125217
,1440,0,0,0,0.578314394
,1440,0,0,0,0.578314394
1448,9360,23,0,0,0.34998951
,1440,0,0,0,0.261174242
,3060,0,0,0,0.973796791
,1440,0,0,0,0.970075758
,1440,0,0,0,0.970075758
,1620,0,0,0,0.961784512
,3420,0,0,0,0.955151515
,2160,0,0,0,0.952020202
867,10260,94,0,0,0.900321106
1636,10530,81,0,0,0.850223776
1682,10530,75,0,0,0.800909609
1495,10350,55,0,0,0.800513307
1181,5760,63,0,0,0.800386364
1413,10080,69,0,0,0.800020563
,2520,0,0,0,0.749188312
360,10170,40,0,0,0.7005417
1296,6120,40,0,0,0.70043672
1217,10440,50,0,0,0.700250784
1086,10440,26,0,0,0.650407524
,1620,0,0,0,0.618181818
532,10260,40,0,0,0.59114168
1557,720,23,0,0,0.500061916
,720,0,0,0,0.329545455
,1800,0,0,0,1.059621212
,3780,0,0,0,0.997792208
,2160,0,0,0,0.963699495
,2700,0,0,0,0.959191919
,1800,0,0,0,0.910378788
,1800,0,0,0,0.910378788
1016,10170,60,0,0,0.850312684
1072,5760,50,0,0,0.800386364
1584,10260,69,0,0,0.80035194
1764,10260,55,0,0,0.800034024
1745,10440,60,0,0,0.800023511
1250,10080,55,0,0,0.800020563
,1620,0,0,0,0.769292929
1118,10320,56,0,0,0.750031447
1143,10440,40,0,0,0.70061442
1337,6120,40,0,0,0.70043672
,1440,0,0,0,0.646306818
1519,360,23,0,0,0.600143365
749,10260,23,0,0,0.350066986
1635,6840,119,0,0,1.000230409
1299,6840,119,0,0,1.000230409
,1440,0,0,0,0.979527778
,1440,0,0,0,0.940625
,1440,0,0,0,0.926388889
1134,6720,70,0,0,0.900129762
,1440,0,0,0,0.861875
1106,6780,60,0,0,0.850312684
,960,0,0,0,0.845458333
,1080,0,0,0,0.823555556
,960,0,0,0,0.803541667
1871,6960,55,0,0,0.800263218
,1200,0,0,0,0.788
,1200,0,0,0,0.77815
1294,6960,50,0,0,0.700386207
1462,4080,40,0,0,0.700164706
976,240,23,0,0,0.650307143
338,3840,34,0,0,0.622828125
,960,0,0,0,0.6225
1455,6960,30,0,0,0.500035345
1282,6480,23,0,0,0.37046657
1559,6840,90,0,0,1.000230409
1350,6840,113,0,0,1.000230409
,1800,0,0,0,0.977555556
,1200,0,0,0,0.9456
,1800,0,0,0,0.902222222
1175,6720,60,0,0,0.850532143
1868,6960,81,0,0,0.850362069
,1200,0,0,0,0.840533333
1045,6960,88,0,0,0.800534483
1342,6780,50,0,0,0.800489676
,1080,0,0,0,0.755555556
1340,6960,63,0,0,0.750593103
1429,3600,45,0,0,0.750283333
,1440,0,0,0,0.722638889
,960,0,0,0,0.553333333
1413,5880,46,0,0,0.500567308
336,6240,0,0,0,0.467693269
511,1800,23,0,0,0.437995338
,960,0,0,0,0.406354167
958,6600,0,0,0,0.285333333
,960,0,0,0,0.259375
1416,6840,113,0,0,1.000230409
,1200,0,0,0,0.989
1287,6840,100,0,0,0.950185965
1444,6900,88,0,0,0.9008
1088,6720,88,0,0,0.900129762
,1200,0,0,0,0.899
,960,0,0,0,0.877552083
,960,0,0,0,0.864583333
,1200,0,0,0,0.85695
,1200,0,0,0,0.853666667
1579,6960,81,0,0,0.850362069
1170,6960,53,0,0,0.850170115
1015,7080,81,0,0,0.800473729
,1200,0,0,0,0.773333333
1436,4200,45,0,0,0.750646667
,1080,0,0,0,0.634666667
1601,4320,46,0,0,0.60059761
717,3960,23,0,0,0.500117677
,960,0,0,0,0.4925
830,6600,0,0,0,0.48792
1136,6960,113,0,0,1.000457471
1397,6840,113,0,0,1.000230409
,1200,0,0,0,0.971866667
,960,0,0,0,0.971866667
,1200,0,0,0,0.971866667
,1200,0,0,0,0.971866667
,1800,0,0,0,0.971866667
,240,0,0,0,0.971866667
,1080,0,0,0,0.971866667
,240,0,0,0,0.971866667
,1200,0,0,0,0.971866667
,960,0,0,0,0.971866667
,600,0,0,0,0.971866667
,1200,0,0,0,0.971866667
1116,6720,93,0,0,0.920236905
1432,6660,88,0,0,0.900537069
1082,6840,81,0,0,0.850610526
1502,6960,81,0,0,0.850362069
1209,4200,45,0,0,0.750646667
282,5880,56,0,0,0.656763743
1417,6480,49,0,0,0.650148148
799,3960,23,0,0,0.600710606
1109,6720,0,0,0,0.388830357
1144,6480,0,0,0,0.286984568
,960,0,0,0,1.0115625
1396,6900,113,0,0,1.000671304
1582,3060,113,0,0,1.000402055
,2280,0,0,0,0.950438596
1124,6840,100,0,0,0.950185965
,1200,0,0,0,0.912766667
,2160,0,0,0,0.892194444
,1200,0,0,0,0.8865
1282,6720,75,0,0,0.850532143
1472,7020,60,0,0,0.85011396
,1440,0,0,0,0.845069444
1282,6960,45,0,0,0.750593103
1276,1440,45,0,0,0.750450658
,1080,0,0,0,0.702666667
1192,6120,75,0,0,0.700508929
881,3960,26,0,0,0.651007071
1196,6600,0,0,0,0.466821212
1400,6720,0,0,0,0.411553571
,1200,0,0,0,0.314166667
16882,7020,113,0,0,1.000602279
,960,0,0,0,0.994270833
21385,7020,88,0,0,0.900158405
21266,6840,70,0,0,0.90014152
21540,6720,88,0,0,0.900129762
,1200,0,0,0,0.85695
,1440,0,0,0,0.809236111
12261,3600,63,0,0,0.800401961
23122,5940,50,0,0,0.800393224
8992,6960,55,0,0,0.799963218
,1080,0,0,0,0.740444444
9792,6480,60,0,0,0.700398148
2984,3960,30,0,0,0.700354545
,960,0,0,0,0.561979167
,2280,0,0,0,0.504596491
839,6960,0,0,0,0.500801724
2698,6720,0,0,0,0.295307738
,1200,0,0,0,0.280333333
1435,6600,0,0,0,0.260978788
,2400,0,0,0,1.001416667
1500,6900,113,0,0,1.000018551
1188,6720,90,0,0,0.999995238
,1200,0,0,0,0.99485
,960,0,0,0,0.976979167
1112,6840,100,0,0,0.950185965
1452,6960,100,0,0,0.949981609
,1320,0,0,0,0.919954545
340,5460,63,0,0,0.800434622
1029,2040,50,0,0,0.800259023
,1080,0,0,0,0.778222222
1070,6960,34,0,0,0.750593103
946,5760,60,0,0,0.700513566
913,4020,30,0,0,0.700184577
1363,6660,0,0,0,0.586465465
1639,6720,0,0,0,0.541517857
,1440,0,0,0,0.5375
,960,0,0,0,0.495416667
415,6960,0,0,0,0.415172414
1263,6900,100,0,0,1.05028058
968,6840,113,0,0,1.000230409
1108,6720,113,0,0,0.999995238
,2160,0,0,0,0.966759259
,1200,0,0,0,0.929183333
,3000,0,0,0,0.915766667
1532,6900,88,0,0,0.900147246
1094,4080,38,0,0,0.800401961
1086,6960,50,0,0,0.799963218
,960,0,0,0,0.779791667
,960,0,0,0,0.755166667
941,3360,30,0,0,0.700710417
1471,6960,0,0,0,0.700612069
1042,6120,60,0,0,0.700278846
1248,6840,0,0,0,0.700135088
,1080,0,0,0,0.687555556
326,5820,0,90,10,0.650834808
,960,0,0,0,0.531666667
287,6060,23,150,15,0.350706422
1300,6780,113,0,0,1.000446018
1485,6900,113,0,0,1.000018551
1039,6720,113,0,0,0.999995238
,2640,0,0,0,0.999924242
1063,6840,100,0,0,0.950185965
,960,0,0,0,0.9425
,1080,0,0,0,0.906666667
,1200,0,0,0,0.8471
,1440,0,0,0,0.845458333
1083,720,38,0,0,0.800612676
1069,6960,50,0,0,0.799963218
,960,0,0,0,0.771583333
668,2520,34,0,0,0.7504
766,2760,30,0,0,0.700079032
557,6960,0,0,0,0.562212644
1608,6960,0,0,0,0.522844828
417,6360,23,0,0,0.500720126
1167,6840,0,0,0,0.496549708
,3000,0,0,0,1.050666667
1186,6900,113,0,0,1.000018551
1060,6840,100,0,0,0.950185965
1534,6780,88,0,0,0.900135693
1142,6720,88,0,0,0.900129762
,1080,0,0,0,0.899111111
,1200,0,0,0,0.870083333
,960,0,0,0,0.845833333
1021,4080,63,0,0,0.800401961
829,6960,50,0,0,0.799963218
,960,0,0,0,0.771583333
813,1560,34,0,0,0.750520115
677,3240,45,0,0,0.750027778
,1200,0,0,0,0.715766667
658,6960,0,270,45,0.662270115
486,6780,30,0,0,0.600224189
687,7500,0,0,0,0.545657673
,960,0,0,0,0.447916667
652,6840,0,300,37,0.365318713
1233,6900,113,0,0,1.000018551
,1440,0,0,0,0.928680556
1388,6720,88,0,0,0.9008
1615,6780,88,0,0,0.900135693
1283,6720,88,0,0,0.900129762
,1200,0,0,0,0.893066667
,1080,0,0,0,0.891555556
,2160,0,0,0,0.875555556
,1800,0,0,0,0.840888889
1026,2880,63,0,0,0.800355208
909,6960,50,0,0,0.799963218
670,3960,34,0,0,0.75065101
629,3240,45,0,0,0.750027778
754,7020,0,0,0,0.700618234
,960,0,0,0,0.610208333
,960,0,0,0,0.607416667
712,6780,44,0,0,0.568259587
148,6960,0,0,0,0.355534483
154,6840,0,0,0,0.353259649
,2160,0,0,0,1.057962963
,1200,0,0,0,0.962016667
1127,120,88,0,0,0.9008
1506,3600,70,0,0,0.900509044
1413,360,70,0,0,0.900477825
,960,0,0,0,0.888125
970,4080,63,0,0,0.800401961
1271,5400,50,0,0,0.800161172
1073,6960,50,0,0,0.799963218
767,3300,50,0,0,0.790003236
103,0,45,0,0,0.750648148
,1800,0,0,0,0.707111111
773,7020,40,0,0,0.700618234
,960,0,0,0,0.697708333
708,4080,0,0,0,0.612517157
842,6960,0,0,0,0.350301724
901,6960,0,0,0,0.350301724
,1080,0,0,0,0.272
,1080,0,0,0,1.004888889
,2160,0,0,0,0.966759259
1268,0,88,0,0,0.90063244
1546,0,88,0,0,0.90047076
813,0,88,0,0,0.90047076
1512,0,88,0,0,0.899984058
,1440,0,0,0,0.853666667
1263,2160,38,0,0,0.8008
900,4080,50,0,0,0.800401961
,1800,0,0,0,0.796755556
640,2400,0,0,0,0.750797009
13,3240,34,0,0,0.750648148
855,7020,45,0,0,0.750356125
,960,0,0,0,0.703770833
855,7020,40,0,0,0.700618234
,960,0,0,0,0.6895
,960,0,0,0,0.628333333
1025,6960,23,0,0,0.500801724
1061,6960,30,0,0,0.393548851
,1800,0,0,0,1.033155556
,1080,0,0,0,1.02
1557,0,90,0,0,1.000344928
1498,0,113,0,0,1.000065789
,1440,0,0,0,0.994375
,2160,0,0,0,0.912037037
,240,0,0,0,0.87
598,0,75,0,0,0.850364583
656,3480,38,0,0,0.800947475
854,4080,50,0,0,0.800401961
609,3240,50,0,0,0.800144144
788,7380,56,0,0,0.750406233
1069,4560,30,0,0,0.714410494
667,5940,40,0,0,0.700588406
,1440,0,0,0,0.618361111
829,3360,23,0,0,0.600070513
,960,0,0,0,0.54175
11,6840,0,0,0,0.536901754
434,3240,0,0,0,0.507903226
1397,0,138,0,0,1.100483918
,1800,0,0,0,1.096633333
1327,0,113,0,0,1.000344928
,1080,0,0,0,0.838666667
894,4080,50,0,0,0.800401961
,1440,0,0,0,0.755486111
610,7080,56,0,0,0.750799435
779,3960,0,0,0,0.688017677
,1440,0,0,0,0.664875
,960,0,0,0,0.656666667
419,7080,0,0,0,0.637711864
,2160,0,0,0,0.601944444
,240,0,0,0,0.58
909,7080,0,0,0,0.535677966
1039,2280,0,0,0,0.50012336
14,6960,0,0,0,0.497885057
1193,7080,0,0,0,0.463403955
10,6000,0,0,0,0.441392
770,6960,0,0,0,0.350301724
1416,6840,113,0,0,1.000230409
,1800,0,0,0,0.929277778
,2400,0,0,0,0.902916667
,1080,0,0,0,0.800888889
942,4080,63,0,0,0.800401961
674,3660,63,0,0,0.80037492
,1440,0,0,0,0.796208333
481,7140,0,0,0,0.750392157
664,7140,56,0,0,0.750392157
,960,0,0,0,0.725625
824,5160,0,0,0,0.700206125
957,7200,0,0,0,0.602
1039,2280,23,0,0,0.600447507
822,4080,0,0,0,0.557252451
1261,6960,30,0,0,0.500801724
,960,0,0,0,0.483333333
,960,0,0,0,0.238041667
,960,0,0,0,1.1204375
,960,0,0,0,1.108125
1420,6840,113,0,0,1.000230409
,1080,0,0,0,0.876444444
1120,1440,50,0,0,0.800806306
,240,0,0,0,0.760833333
679,7140,0,0,0,0.722568627
,1200,0,0,0,0.715333333
881,7080,0,0,0,0.700632768
507,5880,40,2,10,0.700573099
814,4080,0,0,0,0.681598039
700,2640,23,0,0,0.650223718
,960,0,0,0,0.605208333
,960,0,0,0,0.604166667
919,7140,0,0,0,0.598627451
1361,6960,30,0,0,0.475718391
12,6900,0,0,0,0.432122899
,2400,0,0,0,0.287041667
1688,5280,0,0,0,0.283054487
1422,6840,113,0,0,1.000230409
,1200,0,0,0,0.960433333
,1080,0,0,0,0.891555556
,960,0,0,0,0.864583333
1263,600,63,0,0,0.802243319
461,0,0,0,0,0.800980392
1079,3720,38,0,0,0.800312375
,960,0,0,0,0.773333333
895,3960,0,0,0,0.75065101
912,7020,0,0,0,0.750356125
,1800,0,0,0,0.722333333
784,600,30,0,0,0.700459889
,1200,0,0,0,0.629416667
7,7080,27,2,10,0.621971751
680,2160,30,0,0,0.565972222
1131,5280,0,0,0,0.35542803
2103,5400,0,0,0,0.329964879
,1800,0,0,0,0.258
1445,6840,113,0,0,1.000230409
,960,0,0,0,0.927541667
,1200,0,0,0,0.91375
,1080,0,0,0,0.9025
1133,4080,38,0,0,0.800401961
,1800,0,0,0,0.7866
726,3360,0,0,0,0.750621354
849,7020,45,0,0,0.750356125
,960,0,0,0,0.749166667
562,840,30,0,0,0.700888203
1054,3420,30,0,0,0.700614035
1422,6960,50,0,0,0.700603448
,960,0,0,0,0.656666667
680,7140,0,0,0,0.653431373
2120,5520,0,0,0,0.650134
179,0,23,5,30,0.600982906
,960,0,0,0,0.586041667
,1800,0,0,0,0.5814
838,6720,0,0,0,0.361071429
741,0,0,8,35,0.302117347
,1200,0,0,0,0.9918
,1440,0,0,0,0.936861111
,1440,0,0,0,0.919125
685,3360,30,0,0,0.8211125
864,480,50,0,0,0.800980392
511,0,0,0,0,0.800980392
1095,4080,63,0,0,0.800401961
1374,3960,63,0,0,0.800279693
759,3960,34,0,0,0.75065101
553,2280,45,0,0,0.75053268
,960,0,0,0,0.734645833
